work_id,author_seq,country_seq,country_iso_alpha2_code
1993737952,6,1,US
4251600947,1,1,US
4388205498,5,1,CN
2590958523,9,1,US
2284188300,23,1,FR
3199637375,4,1,RU
2724239309,3,1,GB
4392613276,3,1,RU
4312067532,6,1,ES
2988697039,1,1,IN
4385597806,3,1,CN
2403528433,2,1,KR
2995803399,3,1,US
2966369092,4,2,OM
2936874490,4,1,AU
2893370027,1,1,CN
2909790168,6,1,US
4395698854,2,1,US
1983886831,1,1,CA
2995472656,2,1,MX
2991204378,7,1,NO
3150271378,2,1,ID
2502512310,5,1,PL
3162913974,2,1,MX
2916708640,2,1,EG
2378478966,1,1,BR
4206923195,3,1,CN
2933982025,1,1,US
2148867458,9,1,IT
2509430590,3,1,JP
1965833873,1,1,FR
1993858743,1,1,DE
2202615691,4,1,DE
2022313128,9,1,DE
3021980819,2,1,PL
2345021877,3,1,TR
4392601725,2,1,IT
2024451794,3,1,RU
1982748003,4,1,BR
3139323278,7,1,CN
3200597738,1,1,BD
3208837866,2,1,ES
2792291746,6,1,FR
1978234126,1,1,ES
2160172330,4,1,KR
2067115032,1,1,US
2393749363,1,1,CN
1989333769,1,1,US
2025523568,2,1,IN
2089719319,5,2,RU
2115630859,1,1,IR
2119073077,1,1,RU
4389802396,6,1,US
2472046312,4,1,NO
2733452455,4,1,DE
4283018445,2,1,US
2233572874,274,1,RU
4295941258,17,1,CH
2913429346,6,1,CN
4307993921,1,1,IN
208109262,3,1,IT
2599614959,1,1,BR
4237445922,1,1,CA
4366773268,1,1,US
1963735822,1,1,IN
4206465065,5,1,BR
2028178310,6,1,CN
4392943683,4,1,CN
4214875891,7,1,IN
4362697183,1,1,FR
2277089966,7,1,IT
1995800780,10,1,FR
1978760066,2,1,FR
2951228396,17,1,US
1183661491,2,1,EG
2027435904,11,1,US
2086308129,3,1,US
4224009504,3,1,BE
4389520090,3,1,CN
3210646542,3,1,ES
2327213320,1,1,GB
3098390245,11,1,CH
4251017957,1,1,US
2239943424,3,1,US
2904668225,1,1,IT
2024102643,2,1,FR
2129268990,2,1,GB
1563546464,6,1,FR
4401024448,1,1,US
263830954,2,1,AU
4247342128,5,2,EE
4380052924,1,2,NO
2157717770,1,1,US
4225096507,4,1,IN
4391096892,1,1,IN
4384485883,2,1,BR
2511707779,4,1,BR
4316505890,3,2,ES
2580061924,5,1,JP
2044725277,2,1,CN
1497788221,6,1,US
1994871341,2,1,US
2026629403,2,1,DE
1514556918,4,1,JP
1522840340,1,1,TW
2765896553,1,2,SE
2000385995,3,1,CN
2285348960,4,1,CN
4251605050,1,1,DE
4383069523,2,1,CN
2790901013,3,1,BR
2212864004,1,1,US
4384338805,10,1,HU
2176887294,1,1,IT
1977433846,2,1,CN
2039449841,4,1,DE
4239002841,3,1,US
4235209942,8,1,PT
2019375411,7,1,CN
2325421962,4,1,CA
2687580918,2,1,JP
2517744890,1,1,IN
4389466512,2,1,CA
2115993924,6,1,MY
2526806872,3,1,US
3023569071,4,1,US
2934812975,2,1,CN
2952987502,1,1,CA
1984553334,2,1,AT
4388227794,1,1,GB
4399331714,7,1,BR
4289957736,2,1,GB
