work_id,author_seq,affiliation_seq
1985705224,5,1
2215194771,1,5
2149073195,1,1
2104291790,13,1
2102852568,6,2
4388952384,3,3
4280495654,4,1
2954382874,1,1
2791424537,1,1
2897687078,5,1
2639975424,3,1
1993962868,2,1
2319087258,1,1
2790956905,2,2
4200394786,3,1
2765364765,1,1
2286009156,3,1
1985363137,4,1
824672540,7,1
2082298345,2,1
1985523477,6,4
4240297879,3,1
2015402379,5,1
3204091005,1,1
2618142039,2,1
2046652678,5,2
2129685541,2,1
2082069895,5,1
1957204326,23,1
4322492835,6,1
4213151916,3,1
1528185941,1,1
2617996391,7,1
4249447186,13,4
2018684048,11,3
2770331912,2,1
2041049463,1,1
2887317422,2,7
2097722906,10,6
2046887136,1,1
1982794670,6,1
236049504,4,3
2152038133,1,3
4362468394,5,1
1986040089,2028,125
2069226488,3,2
4378718020,3,2
1573673122,1,1
4393186346,4,2
1980782754,1,1
4297904942,8,2
4389738998,11,13
2996554670,6,2
4245797486,6,2
3035768212,5,1
4388930730,3,3
2033676776,1,1
3010910353,6,2
1970875110,4,1
3176167002,1,1
4254879559,6,1
1978543531,3,3
4225678549,10,10
2170594486,7,1
3083989016,1,1
3004061740,3,2
4206853798,1,1
2792231870,3,3
4386944392,1,2
2091216567,1,1
2943185635,2,1
4392144888,1,2
2469665619,12,4
1135968097,4,1
3048959844,3,1
3095229011,4,1
4392630698,8,1
2984674228,9,4
3045696762,2,3
765159154,2,1
3126289217,5,1
2188230382,2,1
1978175437,7,1
1979803264,2,1
2905625308,2,3
2093034564,18,3
1986132506,2,1
2248130690,1,1
2892078986,9,3
2912440326,1,1
4315621744,10,10
2009357508,1,1
2922229802,15,7
3103581556,4,1
4230330970,4,2
1990532013,1,1
2086501228,2,1
3209793391,7,4
2157740863,4,1
2807324554,1,1
4390662740,2,2
2015892168,3,1
2632830009,5,1
4400012428,3,1
2066878912,1,1
4389707787,14,1
4386770780,6,1
4214944523,2,1
4306670520,2,1
4205314567,3,3
4205208754,3,2
2541101631,2,1
2740755699,4,1
2114725542,6,1
2049758461,1,2
2796261602,1,1
1966765032,5,3
2164423488,4,1
2758602871,2,4
4328050762,4,1
4283786505,6,1
4280538910,5,1
3007850788,1,4
2802969872,1,1
3015947810,7,1
1969633922,4,1
4383500082,2,2
2550892107,1,1
1989163720,1,1
4389138050,3,1
2331126571,1,1
2913206297,2,3
4288002907,1,1
2141081753,2238,129
2018700733,3,1
2947765311,3,1
3202376359,1,1
4235676912,1,1
2944115035,1,1
2338250102,1,2
2599214063,1,3
4387267275,3,1
4210730748,2,1
4234821349,2,1
310539476,4,1
1973893544,1,1
1560382622,1,1
4211060846,6,2
3107364567,1,1
3211475770,10,7
2340591593,6,2
3156292200,1,1
2553355410,5,3
2505510331,2,1
4294740751,9,1
2039948685,3,1
2736149598,4,1
2805033085,4,1
2918403897,1,1
99871697,1,1
3155467672,1,1
2055403655,4,1
3130307386,4,2
2094508427,5,2
802551703,1,1
4366124381,3,2
2000801651,1,2
3201795072,1,1
2140749638,1,1
2002865595,2,2
4385627291,1,2
4394939758,1,1
2964763946,4,2
2914978119,3,3
2560299781,2,1
3103831127,2,1
4386346332,2,1
2896145300,5,5
2105284969,37,11
4200514871,3,5
4200072740,15,6
2810734522,1,1
4206197705,35,6
2093531748,5,5
3014952664,6,1
4283391912,9,3
2007914166,1,1
2099498580,3,3
2968260891,1,1
2236114219,15,6
2319799764,4,1
2054417120,2,1
3145288511,1,1
2102650675,2,1
4237491618,31,9
4235947044,247,6
4229454210,11,11
2884381102,9,3
2358824799,1,1
2052009783,1,1
2150180581,1,1
2770258931,1,1
4380785170,3,1
2021761686,2,1
2942988150,4,1
4388194179,8,5
4313530756,4,2
3001111726,1,5
4225274898,3,1
1964920611,7,5
3136963328,2,2
2790830921,4,1
1985721444,3,1
4318928976,7,2
2149959815,1,1
1603569298,3,1
2791324763,1,1
4311941264,5,3
2783751729,2,1
2936372361,2,1
2167863560,8,2
3138742332,3,4
2115730551,2,1
4401500684,10,1
4232155350,1,1
4390520054,3,1
2172112635,2,1
2034727102,4,4
1992965328,1,1
2111209505,2,2
4386162878,8,14
4312830282,2,1
4242898896,8,2
2387035935,1,1
2114078168,1,1
2075453229,4,2
4252099524,2,1
3132091864,2,2
3103701530,1,5
4255591728,2,2
2056557439,1,1
1978069000,4,4
4312088158,8,2
42065799,3,3
2359594596,1,1
4289307911,6,4
4281865143,2,2
4387600339,4,1
4384080221,3,3
2015183975,1,1
3135646190,1293,2
2952237176,1,1
2962833491,2,2
2899261788,1,1
2002083026,3,1
3177651640,4,1
2154639783,2,2
2166753978,1,1
4391775915,1,1
4285183231,14,4
3021120946,7,7
3177014002,2,1
2046863437,3,1
4304183554,3,3
4391716077,1,1
2952108487,21,25
4246622595,5,1
3119207382,1,1
2895831507,1,1
2987935354,1,1
2145898069,1,1
4295048102,5,2
2147746081,1,1
2079000654,4,3
2091117600,4,1
1969898782,4,1
2037628529,3,1
2470671551,1,1
4200556180,1,3
4388191994,1,8
2462287073,1,1
4389057069,4,4
2920326838,43,14
2045202872,2,1
2088183812,6,3
4398887132,1,1
84477550,1,1
4391928454,8,2
2201300378,4,1
3023328774,3,3
4280631240,4,1
3000363674,5,1
2340308891,1,2
2623477242,1,1
2094667433,3,2
2143670851,1,1
4386334673,3,6
2124099741,1,2
3042492241,1,3
3095281333,2,1
4386388475,3,5
2135608249,4,1
2088788965,2,3
2069582603,4,2
3173982063,1,1
3155834497,4,2
4317862727,3,3
4387160256,6,1
2904854050,5,1
2067733373,7,1
4224313216,8,1
2407368807,13,9
2981994616,3,2
2520900454,314,99
2150856909,36,48
4214886915,7,2
2909831014,1,1
4213288208,3,1
2620884042,2,1
4381838789,5,3
4401542802,2,2
2409054442,1,1
2105670620,2,2
16013516,1,1
3005177341,3,1
4231903235,34,2
2025729725,3,3
4320511371,1,1
2093833919,3,1
4381251828,10,2
2508167530,3,2
2946851962,2,2
2019172883,2,1
2053159833,2,2
4304775311,4,1
4383980991,4,1
2144880358,426,19
2534492672,3,2
3127512100,12,1
4307397050,1,1
2001283410,1,1
2406500058,1,1
2044944010,1,1
3198292345,1,1
2026319779,1,1
1929664106,5,3
2468822411,8,4
2807416923,1,1
2952915731,3,1
2597748357,2,2
4224997270,1,1
3159443971,8,1
3135545643,13,1
2319462244,1,1
2166807410,2,1
2359200494,1,1
3010492230,3,2
2348493834,1,1
3022158455,4,1
2099221077,1,1
4230405627,1,1
2167049762,5,2
2339895873,3,1
2091122349,2,1
3125955833,6,1
1996881040,1,1
2138198020,6,1
2115158287,3,1
4396798361,4,1
4292313259,3,2
2964875327,4,1
4310336680,6,4
2115056409,1,1
4383892466,3,3
2472967186,2,1
2297291722,1,1
2031991286,3,1
3131315423,3,2
2119263365,5,5
2970921432,2,3
4391540078,8,1
2348886982,1,1
2999584107,1,1
4253539128,77,1
2059264991,1,1
2148485528,2,2
2593815279,5,1
2150167841,2,1
4383496048,1,1
4246237897,5,3
2070861869,6,2
2765540984,1,1
1573709867,1,1
2234380251,1,1
2323989901,2,2
2046630742,6,3
4383505784,3,4
3163201413,2,5
3003470414,5,4
2062532507,3,2
2341083729,13,3
2794026725,2,1
2748029357,1,2
2342951529,130,31
4320186226,89,7
2767903040,1,1
4323647552,4,2
2542757376,1,1
1524090994,7,1
2775271597,2,1
4397000479,1,1
4393471826,27,23
2206627304,1,1
4252011010,1,1
3187222725,2,1
2515250822,9,2
2019444590,2,1
2314948847,3,1
3175193341,2,1
2808440650,1,1
2949195589,1,1
4293168145,2,1
4389616308,3,1
188177926,8,4
3198626221,5,1
2965427704,4,4
1983676955,1,1
3174523890,10,1
3021830177,9,4
79238626,1,1
2164824914,2,1
4285386289,3,1
2027045426,2,1
2900924641,2,1
2287827496,1,1
4399707790,1,1
2002239184,2,2
2617041818,5,1
4297748683,4,1
1976391139,2,2
2003429712,3,5
212004662,1,1
4255228993,3,1
2049063657,2,2
4232371024,63,3
2799552155,5,1
2900358863,2,1
4224298840,59,11
2007385599,2,1
2395143869,3,1
2019890206,1,1
2801538001,1,1
2357989781,1,1
4255319928,3,6
3183864317,2,1
2964851605,3,1
2042778534,5,3
4386070157,7,6
2553173143,13,1
4293662946,8,1
1971233644,1,5
2008180763,1,1
4287868019,1,1
1989782759,9,5
1129783825,3,4
2083233148,2,1
2885301883,3,2
4233187612,8,3
2044500966,4,2
4381846539,1,1
4210494911,2,4
2323151586,42,1
2921216865,15,6
2080627828,4,1
2724536007,2,1
1975906479,4,4
3162561706,4,7
2034198733,2,1
1510151190,1,1
3061676843,4,1
4309231146,2,2
2112453605,1,1
1979918189,3,1
2765415168,1,2
1852085880,9,1
2884132467,7,1
2192466855,1,1
2021140448,5,1
2970793406,5,3
4292865659,26,5
4252898220,13,1
2007797868,7,1
3098871842,1,1
4221123760,5,3
2079612563,1,1
4323313028,2,1
4226113759,1,3
4248046231,41,8
3100807338,7,6
4246022626,2,1
4315434193,1,1
4363651728,6,1
2287389475,4,1
2921400008,1,1
4243185905,9,10
1785834394,4,1
4238761355,1,1
1966464126,1,1
2758064853,5,3
4327862230,3,2
4294817040,19,3
1507617010,2,1
3194771410,5,2
2150353591,1,1
2134948855,2,2
2205766904,4,2
4378187132,4,4
4292751477,5,3
4255383349,15,1
3092535157,2,2
3036770926,3,3
4200224197,4,2
4236010455,5,3
2474442619,5,1
2944152770,6,3
2032672869,1,1
318818838,1,1
4381186308,9,8
2006598310,4,3
2610809885,3,1
2061032298,1,1
2996264055,10,3
3137106380,6,1
4362497288,1,1
2962935757,1,1
2035242440,2,1
3087829373,3,4
4382025921,9,1
2293187952,1,1
2070623175,1,1
2518360273,2,2
1996932388,9,7
3191351975,3,4
166076383,1,1
4206088848,17,2
4311765022,7,1
2128805967,3,2
2120716373,3,3
1933445728,1,9
4245067285,136,3
4378976628,3,2
3000888028,1,1
2900568051,1,1
4289538505,2,3
999325227,1,1
4282925237,2,1
4253459947,2,1
4319453215,2,1
4390923219,8,1
2333073882,1,1
2398591540,1,1
4301060454,2,2
3125785883,1,1
2013705126,11,5
2068855150,5,3
4205092403,2,2
1569234342,2,2
2972768219,11,9
2540492174,2,2
3165329420,1,1
2990192529,1,1
1964996809,1,1
3205365092,7,1
2046655802,3,2
3011149445,1,1
2019279187,1,1
4401226593,20,11
4380794792,11,3
2950444223,9,3
4230220403,1,1
2020162488,3,1
2007267087,5,3
4285391054,13,2
2992810089,13,3
4386416316,1,1
2947568985,1,4
2943899353,4,3
1982945259,2,2
2088488529,1,1
4378841281,4,1
4287845159,10,2
4234907501,12,5
4379161847,7,3
2357257936,1,1
2807417000,21,2
2104572166,3,2
1991197266,1,1
4281692445,1,1
3209435901,7,2
2320408776,3,2
3124124201,2,4
2011265205,3,2
2048585664,2,2
3178933485,2,1
2359031565,3,2
2001388586,2,1
2943048303,5,2
3133589314,5,1
4388953488,1,1
2016518732,1,1
4246140977,5,3
2025441998,3,1
2093392634,3,2
2396479803,1,1
2032620248,2,2
4313466053,4,2
1547490254,1,1
2981752282,3,1
2917634944,3,1
2035607175,10,4
4319350292,1,3
3185463632,2,2
4382888884,6,2
2149339192,3,1
2766950320,6,1
1646113698,4,1
2009283075,23,11
2412606510,3,1
2907742627,2,1
2981740967,3,1
2062495488,1,1
3135965296,1,1
2330985973,4,1
3201413577,4,4
1786243615,6,10
2116888687,1,2
2032502193,5,1
1999294635,5,1
2224634640,13,12
2340548751,5,1
4366984917,4,1
3213423277,12,1
3167915120,1,1
2598326702,5,3
2979430336,2,1
4366277413,1,2
4366238168,4,4
3175851907,13,5
4399933329,2071,2
4285134120,2,1
4387059467,1,1
2432452507,1,1
2141424790,1,1
2095638620,1,2
2771044115,6,2
2950368777,9,6
4400205644,5,1
1973072368,4,1
2020175223,6,4
3137953839,1,1
4282941666,3,3
2529195269,4,1
2770623835,3,2
4396836483,1,1
4232359180,5,1
4317208883,6,6
3006878978,13,11
1518025587,2,1
2090837625,1,1
4319661042,1,7
4318993547,1,1
3180439356,155,5
2159464843,1,1
3118296842,6,5
4388311505,4,2
4283329274,2,2
4393534785,2,1
4293764260,7,2
2091788799,4,1
4392580885,5,1
4281646471,1,1
4401828374,4,1
4394029503,28,9
2974358000,4,1
4360584814,9,1
3216708309,5,1
2169526798,5,4
2603730745,3,1
222140737,4,1
4394063557,1,1
3193584600,2,1
2295133862,2,1
4395048669,5,1
2952013859,3,1
4353005074,3,2
2789048041,5,2
2012140054,1,1
2898978293,1,1
4238462144,1,22
3126429688,1,1
4250703370,1,1
4393814532,1,1
4322152727,1,1
2134066155,2,1
2125020583,5,2
2517603844,11,3
2088591597,13,15
2079258076,5,2
2108425892,1,1
3174459186,2,3
1642820420,5,2
2062755968,2,1
1483122114,3,4
2089887630,4,3
2728719581,4,5
2589750715,4,1
4392637067,4,1
2331308243,3,1
2011911579,2,2
3157630285,1,1
2070593719,1,1
2470354176,1,1
2146675154,3,2
2742211086,1058,94
2126698402,8,4
2076826266,1,1
2755055150,8,6
2747929463,59,1
2588601198,4,2
4388809344,3,1
4394066021,7,7
4221073007,2,2
3109518448,6,1
2771877729,1,1
2114334811,1,1
2325914508,3,2
1586642574,1,1
3193363149,1,1
2319715509,5,3
2079662222,2,2
2097477455,3,2
1985438558,1,1
2911534815,14,5
2005860398,2,1
4200248639,1,1
2062915148,1,1
2581995261,153,51
3165158341,2,7
1998356630,2,1
2964393609,2,3
2155433359,1,1
4237562253,6,6
4236801438,203,1
2001908694,1,1
1506479690,1,1
4213164723,14,5
2025434539,5,1
2000858753,3,1
3183389173,8,7
4212884668,231,7
2104541803,6,3
3006914625,1,1
4253044859,210,1
2330400804,1,1
2065139373,2,1
2963737802,1,1
2001080438,2,1
78337781,1,1
4384665920,2,1
2137973126,2,1
2154658648,1,1
4383816416,1,1
4313905302,2,1
4389395761,12,1
4256502307,2,1
2126982393,5,1
4313298947,7,2
162817332,3,1
2003453301,1,2
2942638392,2,1
2969375424,1,2
2794251328,49,2
2087518029,4,4
1988150122,1,1
2908654975,2,2
4400820298,1,1
2615182453,7,1
2054913808,1,1
2012272075,5,1
4307097033,2,1
2056542559,1,1
4394966239,1,2
2359209713,1,1
3210790395,1,1
3202454925,2,2
4387607691,9,1
2620142059,1,1
4390506994,1,1
2059935898,8,5
2037315923,2,1
2997139006,5,1
2125027592,2,2
404597537,1,1
4221102801,1,1
1499086587,1,1
2327218803,1,1
2895820703,15,1
4400325320,7,3
2967571306,13,1
4319656958,8,6
2001998328,1,1
2318098712,1,1
2034749726,1,1
2005461695,4,1
4200287476,3,2
1825860090,5,1
2028431348,6,2
2050437675,10,6
2211220962,8,3
4388021626,3,2
3208795621,1,1
2131794491,4,1
2517698555,7,2
3197830557,4,4
3031275910,2,1
1989879785,3,1
1994993019,1,1
2735700646,2365,95
4317932792,4,1
2069687077,5,2
4392010811,2,1
3004039693,1,1
2627649836,1,1
1966812147,2,2
3037400297,5,1
2892104694,10,6
4389605241,2,1
3002959954,1,1
2342687796,2,2
2969484958,3,1
1978164648,2,1
2100989634,1,1
2012658750,1,1
20596705,5,1
4251203396,4,3
3191307522,231,3
4225976438,13,1
4389034053,4,1
3181966351,1,1
2124473449,1,1
4241390291,1,1
220359681,1,1
2908166322,5,3
4292064395,10,1
4389806111,1,1
2615799791,1,1
2020639951,5,2
4389231433,5,5
2059464406,3,1
3207836794,2,3
3200619442,8,1
3007589198,3,3
2027043184,3,1
2964247540,5,5
2242679119,3,3
2992326846,2,1
4341329,1,1
4255541653,3,3
3123263255,2,2
2005288474,1,1
3176034050,1,1
1586303469,4,3
4243633349,18,2
2012705739,2,1
4221094504,3,1
2001659480,3,2
1989133105,1,1
4387595574,4,1
1975949301,1,1
4313421668,1,1
129079154,534,1
4240840712,2,5
2137028013,1,1
2076504401,2,1
2937199030,3,1
4296359610,8,1
4383677211,6,1
4307289968,3,1
2078958130,4,3
2069437793,2,2
4399998686,1,1
1995730310,2,2
2791862584,2,2
1977587396,1,1
122220182,1,1
2322614942,3,2
2171230043,10,3
2012209129,2,1
3044428079,1,1
2091124985,3,1
2626139803,6,3
2808150298,2,2
274958290,1,1
1986922503,3,1
3156417827,1,2
2407030308,7,3
2151248540,51,6
2201116677,2,1
2023458813,6,1
3200257246,8,1
2550045643,1,1
3094215863,3,3
4399361685,6,4
4248892682,4,4
4391379782,2,3
4313560726,1,1
1966507944,2,2
2170598777,8,1
2018611514,1,1
7600214,3,1
2138414444,4,1
2290737330,7,2
2008918290,2,1
1986040089,1012,3
4299533057,3,1
2510872555,1,1
2210651638,2,1
4242191914,19,8
2794128765,1,1
4226287618,3,3
2053422275,2,1
3083221976,5,2
2914352378,7,3
3022309217,8,1
2327049946,2,1
580203497,3,1
2950312939,4,2
4297879411,5,1
4236081647,3,1
1970452617,5,1
3082207188,7,4
4321605311,1,1
2768030048,2,2
4390219388,3,2
2581156442,1,3
4249250938,2,1
272141240,2,2
4291140238,1,1
3044514157,2,1
4225985239,4,1
4391935446,1,1
2962762178,1091,123
4293328530,9,8
4399566725,1,1
2980606894,1,2
2100426288,1,1
2765884234,3,2
2626892237,9,2
2518979191,8,1
4382933668,2,3
2553537501,1,2
2767607723,7,4
4322704045,1,1
2938953243,6,3
2140844618,2,4
4390514560,3,2
4200026952,9,1
2007902031,6,1
2758599328,2,3
3089868769,2,2
4238930886,20,7
4211072290,2,2
2933793899,1,1
2338806698,4,2
3177312142,2,1
2086514616,3,4
3047120178,3,2
2093103271,2,1
4211078368,1,1
2008296394,1,1
2052744019,5,3
4391187217,1,1
3103937609,2,2
4246862611,3,1
1498167702,1,1
4390199937,4,6
2047998080,3,2
1994024182,4,1
3119037957,3,2
2799447665,2,1
2065527758,3,1
4295632655,16,16
4210495706,37,33
2002432156,30,22
3122621273,2,2
2016735683,4,1
2010889252,1,1
4236026478,6,4
4248709848,8,2
4388508806,2,2
2758133198,4,2
2941177468,13,7
2798462443,2,1
2054942753,1,1
3157674561,3,2
2641479273,4,1
4285405567,8,7
3122329418,1,1
2007092920,9,6
4286826950,2,1
2086790377,3,1
2593649556,2,4
967329409,4,1
2318754927,1,1
4280640019,5,1
2724453496,1,1
2278259264,6,3
4378594608,4,1
980474896,1,1
4389756166,6,1
1893797789,3,3
2590601772,3,3
1970482574,4,1
4379616391,14,10
2079830984,1,1
2011725432,9,14
2952033359,3,3
2601954789,1,1
2734726687,1,1
4394853242,4,1
3119751407,2,1
4398644479,2,1
2604137230,4,1
2103595580,5,3
4296198288,4,3
4399100638,56,1
4213453088,5,1
4252757012,3,1
2771169409,4,1
2035545922,2,1
4367607140,1,1
3114348027,1,5
2020177933,6,7
4312457450,6,6
3122186879,11,6
4312249220,1,1
4254469863,1,1
3204311297,5,7
1896972225,8,1
2077684742,1,1
2725376230,11,1
3032778431,7,1
2385337746,1,1
4399499679,1,1
4396974172,5,1
3121768922,5,4
2104081002,2,1
4392129222,5,2
2018680996,3,1
2994772307,3,3
4213139346,7,5
2108413147,1,1
2765341474,11,1
1585765871,1,1
4285205948,6,6
3095278814,14,8
1972661747,4,1
4382201607,2,1
2894809990,2,2
3135714331,2,1
4388265311,4,2
2769848324,1,1
4245914740,4,1
4392013868,5,2
3024680380,1,1
3165980022,1,1
2622097877,2,1
2001654612,6,4
2560824086,5,1
4230380636,1,4
2140781123,2,1
1987731272,1,1
4388243809,2,1
2051989072,1,1
2949340453,6,1
2144144956,543,51
2757739665,1,1
4386707203,1,1
3154498308,4,3
3025818765,3,1
2192487291,5,3
2596229367,1,1
2964909108,7,1
2602886895,4,3
2901731568,1,1
2951439225,5,5
2063662330,1,1
2305103973,3,2
1858557593,2,2
2749175259,2,2
2007837251,2,2
4393988518,1,1
4366825759,3,1
4250514537,3,4
1633545337,7,1
2001900033,2,1
2155262461,1,1
600464718,1,1
4377290377,1,1
4379134839,8,2
2903504336,1,1
2002972512,1,1
2147577459,3,3
3122313258,5,6
4205379776,39,1
425259323,1,1
4229039506,1,1
1978092445,1,1
2030955169,1,1
4313460040,2,2
2159740097,1,1
3177354427,11,1
4254343113,3,1
2125662749,1,1
4401514349,7,3
2156531792,3,1
2781011970,2,2
2071170825,1,1
2915006251,3,2
3089773583,5,2
1969751970,1,1
2594283872,2,2
2991220675,5,1
4285058879,2,1
2210027387,22,5
2799377971,1,1
2761465696,1,1
4391534276,8,6
3124268286,1,1
2362023968,1,1
2904184327,6,1
2070615885,4,1
1704634412,5,6
4393182374,2,1
2003564462,5,5
2048226869,3,2
1964815225,3,3
3095663714,12,1
2032251700,2,1
2501576869,8,3
1866134757,3,2
2010605527,3,1
4386657405,4,2
2151543510,1,1
4225331986,5,3
2047730854,2,1
2091208924,2,2
2528308057,1,1
4234083446,6,9
2149151363,1,1
2038457754,4,1
4311473233,3,1
2229243407,1,1
1553414906,3,1
2327704911,1,1
1586787266,2,2
4398133376,8,2
2340255612,2,3
4233569035,2,2
2063855693,3,5
4296220040,3,1
3007817314,1,3
2210597056,2,5
2086407556,1,1
2026432286,2,1
4378421582,3,2
2753147237,5,2
2334265540,3,1
2972932861,6,1
4306720435,1,1
4245921385,18,3
4393380930,7,4
4300486223,1,1
1987931361,3,2
2972228008,3,1
2894606435,1,1
4308119987,2,1
2469507369,1,1
2971373099,7,7
4393907855,1,1
2899846834,3,1
4211254810,16,3
2607302408,2,1
2966241921,2,2
2951972329,13,4
1782641209,3,2
4290644628,6,2
1847514183,3,1
2154404962,2,6
16828608,1,4
1988435453,4,3
4210624249,7,4
1984135845,4,3
4245939031,2,2
3007576609,4,3
