raw_author_name_id,raw_author_name
99567006,"Mller, Sren Lau Borcher"
57381889,"None R. Maskall (2), I. Reid (3), M. Urq"
49290198,Maria Albertina Pires M. Costa
74213200,Takako Yurikusa
39877324,Karen Pupp Spinassé
11972352,Cao Po
332064,A M Zaazou
65856557,Rodríguez Iglesias Ma
65801801,Rodolfo Aramayo
8178346,B. Barredo
39072729,K. dos S. de Souza
37097195,Jon Maguregui Arenaza
102180098,S Palmore
46482475,M Velasco-Pastor
75056544,Thaynara Andressa Frota Araripe
18535001,Dong Yu-Bin
80039343,Witold Darlewski
77906468,Verónica Sandoya-Sánchez
54663514,N Hasan Choudhury
5016727,Ana Isabel Encinas Prado
70226949,Shannon Dang
70628503,Shilpa Bhojraj
68252894,Saghafi Abdollah
59576913,P. Lotfi-Kamran
35505640,Jenni Musto
3933574,Alexandre Moreira Pacheco
48821817,Mao Kaiyi
41345813,Kirsten Odber
21956040,ET Aldon
97620676,Javier Sánchez Zapatero
96163230,Estefanía Cerro‐Herros
78073813,Victor V. Ionov
79197,A Arul Selvi
87448999,장유정 ( Chang Yujung )
36595565,Jocasta Mileski Machado
22373631,F Jekat
5278366,and K. Lin
71171294,Silvia Roxana Ramirez Arguelles
25908611,Geerjanand Saraye
18490606,Donald O. Schneider
56685458,Nilesh Takale
12826551,Cengiz Gökalp
50055365,Marija Vujević
52731622,Mihaiela Emilia Ghesner
28664273,Hana Ajakan
15226264,D A Cantrell
57722382,Norton Wheeler
98615432,Lilia Campos C.
85952687,Ю.В. Бухвалова
14418772,Claude Mwamba Claude Mwamba
30860478,I José Julián
2041106,Abd Elrahman Metwalli
74022072,T.M. van Kalken
67589436,S. Nosrati
5721328,Andrey Agassy Christian
86738133,کارم عبد اللطيف أحمد محمد
90630910,杨瑞琴
85236768,О В Бакуев
87897323,佐藤未希
20873238,Elizabeth J Barker
10868062,Byungkee Moon
75556323,Timothy G. Barnes
103237918,V G. Burlov
80971902,Yamada Yoshiyasu
49487823,Maria Elizabeth Michelin Ramos
20012396,Echols J
43296534,"Larsen, E.V. Brower, A.S."
43647874,Lea Georges Issa
14430870,Claudia B Kusuma
34120810,Jaakko Pekka Karjalainen
52169372,Mf Poguegeile
97851065,José C M Szajubok
85163116,Н.В. Коваль
76652676,Urban Regeneration
98453083,L. I. Gurinovich
54094915,Mozdoori N
53078540,Mircea Cipou
37314049,Jorge Dettmer G.
81984918,Yu.M Shirshov
21763468,Ernesto Espinoza
43319677,László Zsolt Varga
49383337,Maria Colvis
13543628,Chia-Wel Woo
6027792,Anis Younès
71977753,Spiros E. Davris
25161888,G. Pileičikienė
11534504,C. Vital-García
67051762,S Parvord
25767777,"Garncarek, Paweł"
47982481,Mª del Mar Diáz Cortés
5941572,Ângelo C. D. Panerari
77375567,Vadim Nikolaevich Buriakov
14765189,Consolo Mc
20136629,Edna Gisela Pizarro
51643507,Md. Zaheer Fahtima
45698162,Luisa Sophie Klein
74497765,Tao-fa Lin
26880862,Gong Mei-lan
2356880,Achintya Nayan Bezbaruah
86232536,دعاء محمد مرسال
8846323,Barbara Craggs
79774825,Willem van Wagtendonk
99360576,Mauricio CasasMartínez
87229571,설동희
5896335,Angela Urick
101667525,Quyết Thắng Trần
59894679,P.S. Fedoruk
15386939,D Pérez Gómez
63286203,R. V. Shemehen
51862093,Melanie Jessica Adley
103186859,U Rottensteiner
53321765,Moatez Fayez
12288730,Carmen Ely
56706639,Nilton Luiz de Assis Machado de Jesus
40179549,Kateryna Bohdanova
18258937,DJ J Carr
26600942,Giovanni Perotti
34387291,Jairo M. Perdomo Cabrejo
36620393,Jody M. Havener
37497437,Jose Ezekiel C Espina
10012339,Boag Tj
9117972,Beatrice Bosshart
89051181,姚沅淦
11505605,C. T. Baker
60131825,Panja Kulapongs
17079213,David W. Ulrich
37598052,José M. Reales Avilés
39349723,K. Wijitrattanatri
100985019,None You-Jin Cha
63551579,Rabab Ahmed A Mohammed
70473158,Sheng Xiao-chun
60890010,Pedro Anderson Barbosa da Silva
