work_id,location_seq,is_primary_location,is_best_oa_location,source_id,landing_page_url,pdf_url,version_id,license_id,is_oa,is_accepted,is_published
1980042374,2,0,1,4306402512.0,https://hal.inria.fr/inria-00001065/file/DSaLC_Berry_Quoy.pdf,https://hal.inria.fr/inria-00001065/file/DSaLC_Berry_Quoy.pdf,3.0,,1,0.0,0.0
4236309070,1,1,0,25389742.0,https://doi.org/10.1177/0032258x8105400427,,,,0,0.0,0.0
3083769874,1,1,0,168522863.0,https://doi.org/10.1158/1538-7445.am2020-1943,,,,0,0.0,0.0
4242339310,1,1,0,4306463937.0,https://doi.org/10.1007/978-3-642-33335-4_210287,,,,0,0.0,0.0
764898166,1,1,0,4306549716.0,http://www.cqvip.com/QK/98525A/201203/42466646.html,,,,0,0.0,0.0
956549504,1,1,0,2764430736.0,https://ci.nii.ac.jp/naid/40020513821,,,,0,0.0,0.0
2319634854,1,1,0,72617860.0,https://doi.org/10.1093/em/car095,,,,0,0.0,0.0
2146983239,2,0,0,4306525036.0,https://pubmed.ncbi.nlm.nih.gov/2572614,,,,0,0.0,0.0
3011198544,1,1,0,4306463855.0,https://doi.org/10.4324/9780203401002-18,,,,0,0.0,0.0
2391922316,1,1,0,2764901048.0,http://en.cnki.com.cn/Article_en/CJFDTOTAL-DLJY200302004.htm,,,,0,0.0,0.0
2766717809,1,1,0,134627157.0,https://doi.org/10.1002/aoc.3970,,,,0,0.0,0.0
2392986283,1,1,0,4306553497.0,http://www.cqvip.com/QK/90590X/201502/664327865.html,,,,0,0.0,0.0
1958996240,1,1,1,128227336.0,https://doi.org/10.1128/iai.61.6.2316-2324.1993,https://iai.asm.org/content/iai/61/6/2316.full.pdf,2.0,,1,1.0,1.0
18189833,1,1,0,2764664775.0,http://absimage.aps.org/image/MAR11/MWS_MAR11-2010-003243.pdf,,,,0,0.0,0.0
2397144529,2,0,1,4306401501.0,https://usir.salford.ac.uk/id/eprint/65511/,https://salford-repository.worktribe.com/preview/2945865/Nursing%20Inquiry%20-%202024%20-%20Wynn%20-%20Reassembling%20nursing%20in%20the%20digital%20age%20%20An%20actor___network%20theory%20perspective.pdf,2.0,3.0,1,1.0,1.0
844497970,1,1,1,4306504315.0,https://doi.org/10.1163/26660644-05902004,https://brill.com/downloadpdf/journals/btd/59/2/article-p97_4.pdf,2.0,,1,1.0,1.0
2970273324,1,1,0,,http://lup.lub.lu.se/record/30919510-77c0-4bda-a040-7743cbd17ffa,,,,0,0.0,0.0
318176100,1,1,0,2883122597.0,https://vixra.org/pdf/1405.0142v1.pdf,,3.0,,0,0.0,0.0
4317772452,1,1,0,171616156.0,https://doi.org/10.1016/s0277-5387(23)00034-7,,,,0,0.0,0.0
4250116906,1,1,0,4306463708.0,https://doi.org/10.1093/oso/9780190644086.003.0007,,,,0,0.0,0.0
2029882058,5,0,0,4306400786.0,http://www.redalyc.org/articulo.oa?id=50930584003,https://www.redalyc.org/pdf/509/50930584003.pdf,3.0,,1,0.0,0.0
2947682626,1,1,0,4210217634.0,https://editorial.ucatolica.edu.co/ojsucatolica/revistas_ucatolica/index.php/RevClat/article/download/1671/1549,,,,0,0.0,0.0
1985143421,2,0,0,4306525036.0,https://pubmed.ncbi.nlm.nih.gov/1861026,,,,0,0.0,0.0
3170378271,1,1,0,4210172589.0,https://doi.org/10.2139/ssrn.3855492,,,,0,0.0,0.0
4211208443,1,1,1,146960544.0,https://doi.org/10.1016/j.bjid.2021.101904,,2.0,5.0,1,1.0,1.0
1604519631,1,1,0,2736867735.0,https://biblat.unam.mx/hevila/NoesisRevistadecienciassocialesyhumanidades/2007/vol16/no32/4.pdf,,,,0,0.0,0.0
2139689885,1,1,0,67880631.0,https://doi.org/10.1161/01.hyp.0000169970.68151.17,,,,0,0.0,0.0
2769798303,1,1,0,128516502.0,https://doi.org/10.1093/nq/8-3-113c,,,,0,0.0,0.0
4396621278,2,0,0,4306525036.0,https://pubmed.ncbi.nlm.nih.gov/38704001,,,,0,0.0,0.0
2149316815,2,0,0,4306525036.0,https://pubmed.ncbi.nlm.nih.gov/17900799,,,,0,0.0,0.0
4285992179,1,1,0,177147899.0,https://doi.org/10.1016/j.jpowsour.2022.231867,,,,0,0.0,0.0
2168493898,1,1,0,140906811.0,https://doi.org/10.2216/i0031-8884-40-6-542.1,,,,0,0.0,0.0
2970887151,1,1,0,,https://doi.org/10.1164/ajrccm-conference.2019.199.1_meetingabstracts.a3979,,,,0,0.0,0.0
4317538375,2,0,0,2764455111.0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC9915268,,2.0,,1,1.0,1.0
632639264,1,1,0,4306556194.0,http://ci.nii.ac.jp/naid/110002003045,,,,0,0.0,0.0
4293548211,1,1,1,2596924766.0,https://doi.org/10.3389/fcell.2022.992235,https://www.frontiersin.org/articles/10.3389/fcell.2022.992235/pdf,2.0,3.0,1,1.0,1.0
2129244123,1,1,0,106908163.0,https://doi.org/10.1215/s1522851701000515,,,,0,0.0,0.0
3162217412,2,0,1,4306402487.0,https://www.osti.gov/biblio/1784864,,3.0,,1,0.0,0.0
2605930771,1,1,0,4210187579.0,https://doi.org/10.1002/chin.197223179,,,,0,0.0,0.0
2902667169,2,0,0,4306525036.0,https://pubmed.ncbi.nlm.nih.gov/30507712,,,,0,0.0,0.0
2025215519,1,1,1,89339265.0,https://doi.org/10.1097/00004647-200011000-00006,https://journals.sagepub.com/doi/pdf/10.1097/00004647-200011000-00006,2.0,,1,1.0,1.0
