publisher_id,publisher,hierarchy_level,parent_publisher_id,homepage_url,ror_id,openalex_id,wikidata_id,image_url,thumbnail_url,updated_date,created_date
4320800667,University of Michigan Library,0.0,4320800667.0,http://lib.umich.edu,,P4320800667,Q7895764,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Duderstadt Center.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Duderstadt Center.jpg&width=300,2024-08-26,2023-02-15
4310315740,Landes Bioscience,0.0,4310315740.0,http://www.landesbioscience.com/index.php,,P4310315740,Q6484449,,,2024-08-26,2023-01-01
4310314725,Bulgarian Association of Young Surgeons,0.0,4310314725.0,,,P4310314725,Q52633873,,,2024-08-26,2023-01-01
4383805605,Health Initiatives,0.0,4383805605.0,http://www.catholichealthinitiatives.org,011kd6273,P4383805605,,,,2024-08-20,2023-07-11
4310315490,Catholic University of the Most Holy Conception,0.0,4310315490.0,http://www.ucsc.cl,03y6k2j68,P4310315490,Q1251039,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Ucsc logo.png,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Ucsc logo.png&width=300,2024-08-30,2023-01-01
4310317782,PsychNology Journal,0.0,4310317782.0,,,P4310317782,Q52660645,,,2024-08-26,2023-01-01
4366305983,Mir Publishers,0.0,4366305983.0,http://www.mir-publishers.ru,,P4366305983,Q2440867,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Mir Publishers Imagotype D (RU).svg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Mir Publishers Imagotype D (RU).svg&width=300,2024-08-26,2023-04-20
4327983464,Sociedad Argentina de Gastroenterologia,0.0,4327983464.0,,,P4327983464,,,,2024-08-26,2023-03-21
4310313415,Takasaki City University of Economics,0.0,4310313415.0,https://www.tcue.ac.jp,05m6adj80,P4310313415,Q845177,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/TCUE-Bldg5.jpg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/TCUE-Bldg5.jpg&width=300,2024-08-30,2023-01-01
4310322258,Tobacco Control and Public Health in Eastern Europe,0.0,4310322258.0,,,P4310322258,Q52609796,,,2024-08-12,2023-01-01
4310312896,University of Calgary Press,0.0,4310312896.0,https://press.ucalgary.ca,,P4310312896,Q7895153,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Taylor Family Digital Library - University of Calgary - DSC00189.JPG,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/Taylor Family Digital Library - University of Calgary - DSC00189.JPG&width=300,2024-08-26,2023-01-01
4328139296,Izdatelstvo Naukova Dumka,0.0,4328139296.0,,,P4328139296,,,,2024-08-15,2023-03-22
4322697006,Science Publications,0.0,4322697006.0,,,P4322697006,,,,2024-08-26,2023-03-02
4310312309,"Grupo de Pesquisa Filosofia, Ciência e Tecnologias",0.0,4310312309.0,,,P4310312309,Q52664724,,,2024-01-20,2023-01-01
4310316584,University of Wyoming,0.0,4310316584.0,http://www.uwyo.edu,01485tq96,P4310316584,Q1326975,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/University of Wyoming logo.svg,https://commons.wikimedia.org/w/index.php?title=Special:Redirect/file/University of Wyoming logo.svg&width=300,2024-08-30,2023-01-01
4366067012,PLA  General Hospital Army,0.0,4366067012.0,,,P4366067012,,,,2024-08-26,2023-04-18
4310317398,Polish Association for Knowledge Promotion,0.0,4310317398.0,,,P4310317398,Q52663122,,,2024-08-26,2023-01-01
