source_id,apc_price_seq,apc_price,currency
85335245,1,2490,EUR
23975315,2,2270,GBP
133117437,2,2500,EUR
41454044,1,4060,USD
4210197719,1,2000,USD
103146128,2,2990,USD
1234856,2,2920,EUR
4210233143,1,3140,USD
118886446,1,4020,USD
4210219759,1,100,USD
2764683450,4,337080,JPY
2737133040,1,0,USD
36838616,4,370790,JPY
4387284453,1,0,USD
49831067,2,3950,EUR
10124807,2,3820,EUR
116973605,2,2920,EUR
194610430,1,400,USD
133905466,1,3060,USD
4210218325,2,1570,GBP
81624066,2,3590,USD
4387285235,1,0,USD
100062655,1,0,USD
149651696,1,2690,EUR
55970647,3,3140,EUR
84493273,1,3390,EUR
2738545682,1,0,USD
203153751,2,2650,GBP
207270806,1,0,USD
1650486,4,357300,JPY
4210239266,1,0,USD
148523156,3,1840,GBP
4210190842,1,0,USD
25826151,1,2490,EUR
80045625,4,385390,JPY
181849574,2,2470,GBP
4210189550,1,900,EUR
2764739077,4,202250,JPY
4210220203,1,0,USD
4210216847,1,0,USD
197939330,1,5300,USD
29012355,1,775,USD
177859656,1,4015,USD
2736945689,1,0,USD
4210236200,1,1300,USD
185930956,2,1850,GBP
2764986774,1,2740,USD
4210224495,1,0,USD
2898416378,4,112360,JPY
58241369,3,2640,GBP
105183386,2,2220,GBP
4210170387,3,2630,EUR
201710173,4,334830,JPY
116294579,1,2550,USD
4210220416,1,990,EUR
4210200754,2,3500,GBP
4210216309,1,0,USD
48088588,2,400,EUR
2736681486,1,0,USD
154908413,3,2190,GBP
3593595,1,2580,USD
4210237428,1,200,USD
2764363513,1,650,USD
2764945019,3,1890,GBP
28527816,3,2760,GBP
4210168250,1,860,GBP
21220828,4,307870,JPY
4210204874,1,1500,USD
127505230,1,1160,EUR
2737695319,1,500000,IDR
4210171232,1,0,USD
4210200507,1,65,USD
82984449,1,3090,USD
4210176891,1,0,USD
4210237844,3,1590,GBP
135377718,1,4120,USD
44052652,4,397750,JPY
4387289938,1,0,USD
83388334,3,3340,GBP
4210187320,1,0,USD
98984247,3,2090,GBP
143832381,2,2780,GBP
2738677470,1,950,PLN
119230507,1,4000,USD
4210239929,1,0,USD
12418545,2,3020,EUR
49831067,4,486520,JPY
4210236680,2,1550,EUR
4210216708,1,0,USD
2738314458,1,0,USD
4210201065,1,0,USD
35593046,2,2890,USD
4210217671,1,1500,USD
4210171840,1,0,USD
4210196701,1,0,USD
4210187457,1,351000,IDR
108911230,1,2300,CHF
6747076,3,3420,GBP
4210197101,1,26000,RUB
4210197940,1,3208,USD
8104296,2,1610,EUR
33892871,4,465170,JPY
83651209,1,4950,USD
4306513903,1,0,USD
145410231,1,2390,EUR
4210183088,1,0,USD
4210179817,1,100,USD
146304353,1,0,USD
160466835,2,3490,USD
118216261,3,3390,GBP
2737838034,1,0,USD
4210225132,3,1890,GBP
4210196985,1,1000,USD
4306534208,1,3000000,IRR
12177934,1,2000,USD
531269,1,3110,USD
4210172282,1,0,USD
4387278658,1,0,USD
41882632,2,3010,EUR
4210180117,2,2060,GBP
50431791,1,4370,USD
134155688,1,1700,USD
197264859,2,3390,USD
4210213306,1,0,USD
15409311,1,3440,USD
114739668,4,340450,JPY
4306531810,1,0,USD
2764903752,2,2890,USD
4210188296,1,2590,EUR
144479944,2,2060,GBP
4210225312,1,0,USD
196825396,2,2060,GBP
40752542,2,2900,GBP
162983661,1,2530,USD
2737422535,1,0,USD
9304834,2,2550,EUR
4210183600,1,0,USD
4306515301,1,2000000,IRR
4210219761,1,0,USD
4210241018,1,0,USD
113170167,3,2490,GBP
52363224,2,3890,EUR
132212666,2,2940,GBP
88471346,2,3490,USD
141585851,2,2860,EUR
167743172,1,3500,USD
92757419,3,2300,EUR
2764373787,2,1950,GBP
4210217903,3,1200,GBP
180409492,3,1890,GBP
4210224043,1,0,USD
2764900893,3,2290,GBP
31817463,2,3590,USD
64117906,2,2260,EUR
4210195996,1,0,USD
63477337,2,3160,EUR
4210206015,2,2790,USD
134698528,1,2690,EUR
2737792248,1,0,USD
2764620067,1,1838,USD
176681491,1,2836,USD
4387290698,1,0,USD
4210219321,1,0,USD
4210238108,1,0,USD
57202346,2,3000,EUR
191798613,3,2830,EUR
4210230143,1,1780,GBP
70907202,2,2740,EUR
4210232114,1,0,USD
125466547,1,2690,EUR
4210217433,1,0,USD
1028556770,1,0,USD
4210222969,2,2860,EUR
131700781,2,2010,GBP
108427512,2,2000,GBP
4387286577,1,0,USD
2911503828,1,0,USD
164201770,2,1700,GBP
4210172298,1,0,USD
4210228464,1,0,USD
31690342,1,3710,USD
4387279336,1,0,USD
174413665,2,1960,GBP
4210178312,1,0,USD
164566984,1,2675,USD
4210184716,1,250000,IDR
70935693,4,308990,JPY
4210210648,1,0,USD
4210187450,1,0,USD
155963401,2,2270,GBP
2765008071,1,0,USD
2738142490,1,1050,UAH
4210239322,1,150,USD
4210220077,2,3090,USD
151491554,3,2090,GBP
2738277457,1,0,USD
2736698024,1,0,USD
4210217426,2,2190,EUR
68157034,2,2890,USD
2736663096,1,0,USD
4210188131,1,0,USD
2737990715,1,0,USD
2764999901,1,0,USD
2738758080,1,200,USD
46670945,3,2240,GBP
4210180428,1,0,USD
4210179764,1,0,USD
4210178590,1,3190,EUR
59020844,4,333710,JPY
181810612,3,2790,GBP
4210236494,1,0,USD
14661945,1,1890,GBP
201675752,2,1750,GBP
4387283555,1,0,USD
146534985,2,2890,USD
85849776,1,4020,USD
21165490,2,3240,GBP
4210185921,1,0,USD
42865813,3,2090,GBP
127984601,4,384270,JPY
25370267,1,3450,USD
4210239987,1,1900,USD
196734849,1,1890,EUR
147849156,4,767420,JPY
202179756,2,2220,GBP
4210238846,1,0,USD
134627157,2,2680,GBP
31411064,1,4330,USD
4210211985,1,0,USD
4387280367,1,0,USD
2764432365,1,150000,JPY
4210171466,3,1200,GBP
4210225524,3,1890,GBP
4210173555,1,0,USD
4210227033,1,1370,GBP
70979998,2,4390,USD
152791072,2,1920,EUR
144076420,1,1450,EUR
63040059,2,2650,EUR
4210234889,1,0,USD
98369295,3,1990,GBP
4210169273,1,0,USD
16770927,1,0,USD
4210178639,1,0,USD
138334915,1,2590,EUR
4210177399,2,2890,USD
193447295,2,2780,GBP
4394735578,1,0,USD
2925925584,2,2890,GBP
174221484,3,2420,EUR
4210195943,3,3170,EUR
4387287725,1,0,USD
4210237726,1,0,USD
2764396434,1,2190,EUR
4210174540,3,1240,GBP
183233548,3,2770,GBP
4210238311,1,2630,USD
201635232,2,3490,USD
82037729,1,2100,EUR
4387281167,1,0,USD
4210221393,2,2740,EUR
4210184838,2,25000,PKR
4210210098,1,0,USD
4210229906,1,0,USD
4394708470,1,0,USD
2738280394,1,0,USD
104135014,2,3660,EUR
61781353,4,360680,JPY
2739350615,1,0,USD
7560371,2,4240,EUR
4387279027,1,0,USD
149171590,1,2750,USD
2898509233,1,1100,USD
4210216910,1,2500,USD
2764528359,1,0,USD
195642041,3,2390,GBP
2736648221,1,0,USD
50372074,2,3240,EUR
2737856571,2,3590,USD
39580544,2,3570,EUR
4210236940,1,0,USD
45912524,3,3090,EUR
4210173251,1,0,USD
115206073,3,2090,GBP
4210192813,1,0,USD
2739303216,1,0,USD
2764687066,2,1300,GBP
159232998,4,247190,JPY
185253248,3,3390,GBP
12967714,1,0,USD
4387278663,1,0,USD
4210186816,1,1000,CHF
4210202005,1,0,USD
4210228092,1,0,USD
4210226706,1,0,USD
2478262152,1,2290,GBP
2898390257,1,3230,USD
185277049,2,2990,USD
4210174851,1,0,USD
20076162,1,0,USD
2898433336,2,1200,EUR
31411064,3,3560,EUR
2898510056,4,323600,JPY
2898507364,3,1770,GBP
190064913,3,2310,GBP
4210193206,1,0,USD
190431191,1,0,USD
4210168721,1,3700,USD
196825396,3,2580,EUR
2764388136,1,2690,EUR
183798913,1,5019,USD
4387997956,1,0,USD
165334205,1,0,USD
48254654,3,2880,EUR
2739450610,1,0,USD
4387289852,1,0,USD
4210173848,1,1500000,IDR
4210215428,2,2990,USD
2898304895,4,298880,JPY
5544371,1,3328,USD
47993699,1,2780,USD
4210178346,1,1150,USD
112952035,1,2390,EUR
4210218676,1,0,USD
4210212539,1,1950,USD
22313829,3,1890,GBP
4210240686,1,0,USD
2738499120,1,0,USD
4210231163,1,0,USD
2737192608,1,0,USD
4210221687,1,200000,IDR
4210203657,1,100,BRL
285199,2,3590,USD
766161,1,3290,EUR
2737730191,1,1980,USD
147547362,1,2582,GBP
4210190863,1,0,USD
38883057,4,401130,JPY
2738413198,1,200,EUR
2738958368,1,0,USD
12418545,1,3310,USD
4210168788,1,0,USD
2737341778,1,0,USD
70907202,4,337080,JPY
4387289315,1,0,USD
4210211012,1,0,USD
4210215428,1,2390,EUR
3035238565,1,0,USD
106148199,2,2790,USD
26588707,1,3390,EUR
50016660,2,4000,EUR
4210167858,1,0,USD
87719511,1,3800,USD
4210210723,1,300,USD
2765034492,1,0,USD
2764413953,3,2830,GBP
128556326,4,373040,JPY
4210235563,1,50,USD
135706173,1,3000,USD
2738012530,1,0,USD
4210227128,1,0,USD
143406092,2,3060,EUR
4210180806,1,0,USD
2764401795,1,2390,EUR
4210172960,1,0,USD
4210197885,1,0,USD
4210216957,2,5000,RUB
161350934,1,3240,USD
60635053,2,1750,GBP
120870440,3,1990,GBP
4210224959,1,1650,EUR
99346554,1,1000,EUR
14509825,3,2990,EUR
193913637,1,2390,EUR
137436721,3,1400,GBP
188431908,1,980,GBP
4210223097,1,1500,USD
4387292148,1,0,USD
2738536348,1,0,USD
9304834,3,2240,GBP
121608518,2,2550,GBP
39128869,1,3450,USD
59020844,3,2380,GBP
836864,1,0,USD
4210194329,1,2010,USD
136119960,1,1680,USD
89452420,2,2990,GBP
141413535,2,2990,USD
75054922,1,2400,USD
4210235554,1,1490,GBP
116585092,4,256000,JPY
23314063,1,3550,USD
154487680,1,3660,USD
4387288147,1,0,USD
2736396478,1,0,USD
41353823,1,2290,EUR
42421247,4,280900,JPY
7560371,4,522470,JPY
188519406,1,1910,USD
2475775703,2,2890,USD
4210198889,2,400000,IDR
4387280126,1,0,USD
4210190335,1,1090,EUR
2739328360,1,1000000,IRR
53842986,3,2670,GBP
16518550,1,0,USD
4306527986,1,0,USD
114437232,2,4700,EUR
58438227,3,1990,GBP
2898225552,4,358430,JPY
169735585,4,224720,JPY
4210200979,1,3050,USD
2736969387,1,0,USD
2738057158,1,0,USD
37028064,2,2690,USD
4210179210,1,35,USD
4210196434,2,3160,EUR
157560195,3,3060,GBP
4632444,4,524720,JPY
4210177556,1,0,USD
13481170,1,2870,USD
128025751,4,322470,JPY
4210209107,3,1600,GBP
4210179484,1,0,USD
2738270868,1,100,EUR
33519306,1,3099,GBP
119661813,3,3990,GBP
79992667,1,3963,USD
4210227080,1,1690,GBP
2737982974,1,0,USD
4210188156,1,0,USD
2491932416,3,4000,GBP
4210188050,1,0,USD
22312033,1,2000,EUR
2764499888,1,0,USD
4210203048,1,1750,USD
2739336329,1,1000000,IRR
130908126,2,3690,USD
4210230495,1,100000,IDR
4210172052,1,0,USD
71015530,3,2390,EUR
179213746,2,2470,GBP
30657385,3,2490,GBP
4210201765,1,200,USD
159320098,1,2290,EUR
4210185489,1,0,USD
2738455068,1,0,USD
4210215080,1,0,USD
82984449,2,2420,GBP
83388334,2,3800,EUR
204244929,2,3690,USD
49396926,3,2630,EUR
4210180826,1,0,USD
2764480744,4,484270,JPY
22619840,1,1290,GBP
2737129748,1,0,USD
163634330,2,3840,EUR
4210174196,1,200,UAH
80729884,1,3280,USD
4210182704,1,0,USD
4210189126,1,0,USD
2736650655,1,0,USD
4210183252,1,0,USD
44419007,3,2880,EUR
5984737,2,3500,EUR
2487679084,3,1750,GBP
4210228006,1,0,USD
2913583916,1,0,USD
4210196627,1,0,USD
175874283,2,2060,GBP
4210178138,1,1000000,IRR
156919612,2,2470,GBP
149394164,1,0,USD
4210192742,2,5750,EUR
2739070576,1,1600,CHF
2755663446,1,650,USD
73786128,2,2470,GBP
106299656,4,446070,JPY
103671469,1,2290,EUR
2738790859,1,2000,USD
106535470,1,2790,EUR
192559872,3,3130,GBP
78725770,3,2690,GBP
4210187383,1,2880,USD
4210222104,2,2110,GBP
73028643,2,2990,USD
119525064,1,4430,USD
2736364826,1,0,USD
194005134,1,2690,EUR
4210223867,1,0,USD
21317199,2,2780,GBP
4210192543,1,0,USD
4210241000,1,2473,USD
1879512,1,3500,USD
134307298,1,5300,USD
2765004167,1,0,USD
135086837,1,2690,EUR
112974357,3,2870,GBP
175030738,1,3690,EUR
2765043741,1,0,USD
61528851,3,1990,GBP
17114410,1,4330,USD
4210187377,1,0,USD
66479284,3,2490,GBP
2737575815,1,0,USD
3034690390,1,755,GBP
2764953765,2,2110,GBP
4210172957,1,0,USD
4210196932,1,0,USD
71191459,2,2060,GBP
4210185106,1,0,USD
4210200782,1,0,USD
37289548,1,2690,EUR
4210171133,1,300000,IDR
4210170861,1,5050,USD
4386622181,1,0,USD
4210237871,1,0,USD
4210217564,1,750,GBP
4210186897,1,500000,IDR
47836903,1,2590,EUR
112088593,2,2990,USD
137905309,3,8490,GBP
45720283,1,3416,GBP
170408770,3,2190,GBP
2764405308,1,100,USD
4210215500,1,0,USD
2737243837,1,0,USD
4210224954,1,400000,IDR
4210169497,1,2350,USD
4210173502,3,2090,GBP
134345577,1,2190,EUR
7159504,1,4020,USD
2898363556,3,1230,GBP
2739344349,1,0,USD
4210180626,2,3490,USD
2898338117,3,2230,GBP
2898224786,4,373040,JPY
2738630179,1,0,USD
4210182158,2,2460,EUR
44888363,3,2790,GBP
4210208107,2,2890,USD
4210207792,1,0,USD
2756400385,1,0,USD
4210208620,1,0,USD
98346705,1,2190,EUR
4210213279,1,0,USD
4210186116,1,1500,USD
121541055,2,2890,USD
4210220518,1,350000,IDR
2764900162,1,5000,INR
189810516,3,2520,GBP
4210220468,1,0,USD
182878189,3,2890,GBP
4210209173,1,0,USD
22685659,4,364050,JPY
148607363,3,2630,EUR
4210206835,3,2190,GBP
2737658032,1,0,USD
4210194389,2,2990,USD
2764396434,3,1890,GBP
2764632379,1,250,USD
2764819964,1,450,USD
34211650,3,2090,GBP
148523156,1,2300,USD
4210215143,1,2390,EUR
2736836456,1,0,USD
2738403569,1,0,USD
2736874338,1,0,USD
5042006,2,3340,EUR
2739024664,1,0,USD
2764865717,3,4280,EUR
4210198226,1,0,USD
4210218560,1,2000,USD
2764576156,1,0,USD
4210178450,1,0,USD
4210214324,1,515,GBP
16776775,2,900,EUR
159544283,1,2760,USD
4210207241,1,0,USD
4210180100,1,0,USD
100946473,1,0,USD
144184862,1,2890,EUR
207931912,1,0,USD
2898195457,1,2780,USD
170352678,1,2100,USD
138062970,2,3590,USD
4210180400,2,850,EUR
4210235137,1,0,USD
4210175967,2,850,EUR
967762373,2,3590,USD
4210214779,1,0,USD
4210174605,1,1800,USD
88760654,2,2500,GBP
80413395,1,1890,GBP
118119388,4,386520,JPY
4210201056,1,0,USD
2898133657,4,400000,JPY
4210220036,1,0,USD
177792750,1,2940,USD
4210214599,1,0,USD
4210235838,1,0,USD
4210232516,1,0,USD
4210208815,1,0,USD
2736717198,1,0,USD
146061289,4,337080,JPY
4306515541,2,75000,IQD
120213556,3,2290,GBP
4210195431,1,3060,USD
4210229223,1,2349,USD
4210190587,1,2000,USD
4210185935,1,0,USD
4210188721,1,0,USD
