publisher_id,alternative_name_seq,alternative_name
4310319874,17,Universitas Palackiana Olomucensis
4310319874,21,Universiteit van Olomouc
4310319874,25,Univerzita Palackeho v Olomouci
4310319874,29,UP v Olomouci
4310319877,1,Buske
4310319884,3,O. Jacob
4310319885,1,내셔날 지오그래픽
4310319885,5,Hội địa lý quốc gia
4310319885,9,Nacionalno geografsko združenje
4310319885,13,National Geographic Deutschland
4310319885,16,NGM
4310319885,20,Yayasan National Geographic
4310319885,24,ماهنامه نشنال جئوگرافیک
4310319885,28,مجله نشنال جیاگرفیک
4310319885,35,نیشنل جیوگرافک سوسائٹی
4310319885,39,נאשינעל זשיאגראפיק
4310319885,43,נשיונל ג'יאוגרפיק
4310319885,47,ეროვნული გეოგრაფიული საზოგადოება
4310319885,50,國家地理電影
4310319887,4,Sedes
4310319889,3,Sociedad Biblica Catolica
4310319893,1,ACER
4310319898,4,National Research University
4310319898,8,モスクワ航空研究所
4310319898,12,莫斯科航空技術學院
4310319900,3,シュプリンガー・サイエンス+ビジネスメディア
4310319900,7,Springer Science & Business Media
4310319900,11,Verlag von Julius Springer
4310319901,1,W. Kohlhammer Verlag
4310319908,3,ネイチャー・パブリッシング・グループ
4310319908,7,Nature Research
4310319912,1,Autonomous University of Mexico State
4310319912,5,UAEMéx
4310319912,9,Université Autonome de l’État de Mexico
4310319913,3,PAGEPress Scientific Publications
4310319915,2,Santa Catarina Federal University
4310319915,6,Universite federale de Santa Catarina
4310319917,1,Litteraria Pragensia Books
4310319922,4,Medizinverlage Stuttgart
4310319923,2,St. Ignatius College (1859–1930)
4310319923,6,University of San Francisco
4310319923,10,三藩市大學
4310319924,3,Puf
4310319926,2,Pearson
4310319926,6,ピアソン PLC
4310319928,1,Mentis
4310319931,2,ASPT
4310319932,3,Минералогическая ассоциация Америки
4310319934,2,ABD Jeolojik Araştırmalar Kurumu
4310319934,6,Geological Survey
4310319934,10,Khảo sát Địa chất Hoa Kỳ
4310319934,14,Servicio Geológico de los EE.UU.
4310319934,19,Trung tâm Khảo sát Địa chất Mỹ
4310319934,23,USA Geoloogiateenistus
4310319934,27,U.S. Geological Survey
4310319934,31,U. S. G. S.
4310319934,32,انجمن زمین شناسی امریکا
4310319934,36,سازمان زمینشناسی ایالات متحدهٔ آمریکا
4310319934,40,سازمان نقشه برداری های زمین شناسی ایالات متحده آمریکا
4310319934,44,Геологически топографски институт на Съединените американски щати
4310319934,49,米国地質調査所
4310319934,53,美國地質局
4310319936,1,Gerling Akademie Verlag
4310319938,4,université de Bohème occidentale à Plzeň
4310319938,8,Vydavatelství Západočeské univerzity v Plzni
4310319938,12,Západočeská univerzita v Plzni
4310319939,2,Nomos Verlag
4310319941,1,North West University
4310319941,5,Potchefstroomse Universiteit
4310319941,9,Universität Potchefstroom
4310319943,4,BPV Medien Vertrieb
4310319943,8,OZ Direct
