institution_id,repository_seq,repository_source_id
241749,2,4306401777
251738,2,4306402591
592451,2,4306402656
592451,6,4306400987
686019,2,4306402367
746986,1,4306401463
1351752,1,4306401342
1902872,1,4377196942
1925986,2,4377196418
2613432,1,4377196272
4068193,1,4306400719
4068193,5,4306402006
4101805,2,4377196526
4104125,1,4306400413
4141589,1,4306401299
4141589,5,4377196586
4164984,1,4306400713
4498119,1,4306402385
4577782,1,4306401948
4588055,1,4306400575
4654613,2,4306400407
5023651,1,4306401568
5518804,2,4377196827
6059380,1,4377196793
7597260,3,4306400455
7882870,1,4306400411
8078737,1,4377196397
8204097,1,4377196273
8204097,5,4377196618
8588240,1,4306401201
8692664,4,4306402630
8961855,2,4306402318
9300472,2,4306400186
9360294,2,4377196857
9360294,6,4377196869
9360294,10,4306400630
9617848,2,4306400551
9736820,1,4306401448
9927081,1,4306401664
11701301,1,4306402548
11855966,1,4306400734
11855966,5,4306400879
11874761,1,4306401214
11883440,1,4377196576
12003341,1,4306401031
12079687,3,4306400464
12093191,1,4306400267
12113309,1,4377196659
12833781,1,4306401164
15766328,1,4306400812
17626003,2,4377196359
19668297,1,4306400999
19700959,3,4377196665
19820366,2,4306400842
19880235,4,4306400324
20121455,2,4306401671
20581793,1,4377196264
20696738,1,4306401827
21104390,2,4306402534
21131202,1,4377196939
21250087,1,4306402010
21881038,1,4306401895
23923803,1,4306401998
24354313,1,4306402562
24354313,5,4377196963
24571045,1,4306402276
24603500,2,4306402057
25169866,3,4306402570
25822123,1,4306400377
26120043,1,4306400438
26437253,1,4306400130
27504731,1,4377196702
27577105,1,4306400766
27837315,2,4306400393
27912750,1,4306401752
28166907,1,4306400147
28290843,2,4306400680
29617571,2,4306401958
29894533,1,4306401536
30849647,1,4306401192
31512782,2,4306400412
32021983,1,4306402453
32132236,1,4306401504
32597200,1,4306400478
32971472,1,4306401049
33103891,1,4306400818
33213144,1,4306400471
35568498,1,4306401766
35870678,1,4377196393
35961687,4,4306400846
35961687,8,4306400961
36234482,1,4306400895
39147953,1,4306400506
39343248,1,4306400923
39422238,3,4377196946
39555362,1,4306400665
39586589,1,4306401613
39587148,1,4306401479
39854758,1,4306401981
39995536,1,4306402227
40053085,1,4306401737
40120149,2,4306400608
41156924,2,4306400531
41156924,6,4306400725
42095658,1,4306401232
42766147,1,4306401765
42934936,3,4306401511
43439940,1,4306400229
43439940,5,4306401019
43439940,9,4306402071
43439940,13,4306401053
43439940,16,4306401207
43579087,1,4377196567
44265643,1,4377196130
45129253,2,4306400024
45643870,1,4377196369
45812101,2,4306401771
45812101,6,4306402315
46305939,1,4306400400
46464968,2,4377196461
47251452,1,4377196938
47301684,1,4377196502
48057805,1,4306400135
50357001,2,4306402178
50441567,1,4306400044
51209816,2,4377196889
51361536,1,4377196775
51504820,2,4377196389
51569856,1,4306401205
51783024,1,4306400849
52179390,2,4306401979
52418104,1,4377196707
52623189,1,4306401318
52890796,1,4377196882
55060895,1,4306401244
55143463,2,4306400101
55892964,2,4377196316
56125125,1,4306400867
56327960,1,4377196969
57206974,2,4306401258
57328836,1,4306401374
57664883,1,4306401331
59270414,2,4306401429
59411706,4,4306401554
59411706,8,4306400532
59411706,12,4306400588
59411706,17,4306400018
59411706,21,4306400800
59411706,25,4306400643
59411706,29,4306400458
59433898,1,4306401473
59553526,1,4377196674
60053951,3,4306401646
60053951,7,4306401247
60060512,2,4377196476
60668342,1,4306401583
60858718,1,4306400294
62916508,4,4377196330
63072094,1,4306401774
63966007,1,4306400425
64926303,1,4306400257
65106266,1,4377196599
65285256,4,4306402237
65542365,1,4377196844
65806277,2,4306402594
65837984,1,4306401924
66514158,1,4306402578
66752286,2,4306401259
66862912,3,4377196470
67311998,1,4306400148
67311998,5,4306401389
67415387,1,4306401916
67789559,1,4377196585
68947357,1,4306400486
69094615,1,4377196729
70931966,1,4377196102
71270174,1,4377196414
71422933,1,4306401600
71431329,1,4377196905
71503853,1,4306401951
71637028,1,4306401758
71824836,1,4306401298
71999127,2,4306400663
72541430,1,4306401541
72700828,1,4306400156
72903472,1,4377196886
73417466,1,4306402411
74054363,1,4377196629
74413500,1,4306402218
74801974,1,4306402154
74897591,1,4306401380
75381157,1,4306401971
75951250,1,4306402444
76407603,1,4377196419
76835614,2,4377196800
76842071,2,4306400341
76842071,6,4306402063
76903346,2,4306400598
78037679,2,4306400066
78577930,1,4306402601
78715868,1,4377196505
78757542,3,4377196612
79189158,1,4306400312
79238269,2,4306401665
79510175,1,4306401195
79576946,4,4377196331
79619799,3,4306402357
79620101,1,4306402266
79891267,1,4306401925
80046288,1,4377196507
80180929,1,4306401267
80281795,1,4306402093
80606768,1,4306401011
80849659,1,4377196298
82509713,2,4306402234
82549287,1,4306401985
82724352,1,4306402285
82951845,1,4306402074
83467386,1,4377196680
83558840,1,4306400678
83816512,1,4377196291
84641585,1,4377196960
85686399,2,4306401931
86467917,3,4377196352
86519309,1,4306402198
88060688,2,4377196323
89864525,2,4377196776
90281761,3,4306401384
90340485,1,4377196834
90757844,1,4306401099
91123046,2,4377196885
91712215,4,4377196383
94616838,1,4306402397
96698942,1,4306400286
98251732,1,4306402139
98259816,2,4306400465
98285908,1,4306402540
98358874,2,4306402238
98435010,1,4306400131
98461037,2,4306402383
98677209,1,4306400320
99464096,2,4306401974
99682543,3,4306401240
100538780,2,4377196519
100930933,2,4306402280
102335020,1,4306401992
102373834,3,4377196462
102607778,1,4306400889
103031861,1,4377196762
103187081,1,4306402618
103531236,3,4306400046
103531236,7,4306400138
105056648,2,4306402056
106118109,1,4306400126
106157433,3,4306402348
106165777,1,4377196337
106349282,1,4306401865
107158390,1,4306401550
107949126,1,4306401508
108103353,2,4306400688
108290504,2,4306402021
108652713,1,4306401539
110026055,1,4306400114
110079840,1,4306400295
110617504,1,4377196950
110678235,1,4306401403
111329961,2,4306402174
111796040,1,4398183272
112524849,1,4306401607
112679378,1,4306402633
113686770,3,4377196641
114017466,3,4306401629
114027177,1,4306402268
114112103,1,4306401574
114202661,1,4306400250
114202661,5,4377196839
114202661,9,4377196847
114202661,13,4306401250
114203471,1,4306400522
114457229,1,4306402259
114531698,1,4377196385
115752224,1,4377196351
116067653,2,4377196780
118347636,1,4306402539
118564535,2,4377196786
118946981,1,4306401625
119003972,2,4306401486
119004910,1,4377196756
119635470,2,4306401547
119664326,1,4377196343
119896790,1,4306402126
120125038,2,4306401894
120217413,3,4377196445
121748325,1,4306400298
121820613,1,4306402635
122411786,4,4306402402
123387679,1,4306402042
123534392,1,4306400792
123946342,1,4377196524
124246371,1,4306400356
124601658,1,4306401194
126193024,1,4306400141
126350171,1,4377196468
126596746,1,4306401249
126744593,1,4306401434
126863827,1,4306400070
127251866,1,4377196879
127362389,1,4377196635
127859547,1,4377196448
127927624,1,4377196523
129604602,1,4306402414
129801699,1,4306401569
129877168,1,4306401657
129994210,1,4306401052
130343225,1,4377196260
130442723,3,4306401944
130823665,4,4306401219
131221577,2,4377196650
132053463,1,4306401063
132610948,1,4306402255
132735039,1,4306402089
133731052,2,4377196760
133837150,2,4306402508
134820265,2,4306400616
135140700,1,4306400385
135310074,2,4306402115
135369504,1,4377196613
135474949,1,4377196778
135768898,1,4377196791
136199984,1,4306401540
136199984,5,4306400876
137265193,2,4377196415
137799390,1,4306401862
138006243,1,4306400271
138689650,3,4377196283
139351228,1,4306402487
140025399,1,4306400852
140744787,2,4306402294
141596103,2,4306401073
141649380,1,4377196527
142263535,3,4306402015
142263535,7,4306402483
142444530,4,4306402036
142934699,1,4306400189
142974352,1,4306400152
145847075,1,4306400493
145872427,2,4306401067
146416000,1,4306401558
146552867,2,4306402326
147017597,1,4306400715
149213910,1,4306401849
149557720,1,4306401520
150729083,1,4377196379
150744194,1,4377196531
151651118,1,4377196914
151823869,2,4306400428
153455119,1,4377196934
153562115,4,4306400773
153562115,8,4306400176
153592363,1,4377196880
153718931,2,4306400902
153871386,1,4306401929
153975220,1,4306400122
153976015,1,4377196268
153976015,5,4306402039
154757721,1,4377196798
155781252,2,4377196354
156088403,1,4377196546
157071867,2,4306400401
157227730,2,4306400937
157286207,3,4377196372
157614274,4,4306402101
157725225,2,4306400836
159360068,1,4306400476
160993911,2,4306401910
161106909,1,4377196893
161107111,1,4306400529
161321875,2,4306400910
161593684,1,4306400560
162290304,1,4377196376
162827531,1,4306400899
163137577,2,4306400332
163245316,2,4306400280
163770644,2,4377196325
164389053,2,4377196678
164936912,1,4306402377
165143802,1,4306402388
165230279,4,4377196601
165230279,8,4306400904
165525304,2,4306401889
165526535,2,4377196584
165678365,1,4306401270
165733156,2,4306401728
165862685,1,4306400552
166073570,4,4377196783
166337079,4,4306401976
166613482,1,4377196851
166843116,3,4306401733
167138147,2,4377196709
167234411,2,4377196539
168046917,1,4377196797
169086405,1,4377196781
169138485,1,4306401230
169248161,1,4377196500
169333911,1,4306401689
169381384,1,4306400420
169521973,1,4377196368
169615421,1,4306401140
170201317,4,4306401282
170201317,8,4306402375
170201317,12,4306401325
170201317,17,4306400410
170201317,21,4306400612
170201317,25,4306402121
170201317,29,4306400117
170201317,34,4306402323
170201317,38,4306400405
170486558,1,4306402615
171892758,1,4306401090
172039944,1,4377196516
172574986,1,4306402289
172901346,3,4306400690
173888879,1,4377196982
173911158,2,4377196104
174183983,1,4306402290
175051016,3,4306402557
176453806,1,4306400594
177181097,2,4306401133
177233841,3,4306401838
177233841,7,4306401178
177477856,1,4306402038
177802217,2,4377196315
177877127,1,4306402523
177969490,1,4306400424
179647637,2,4306401027
180519160,2,4306401458
180923762,2,4306401304
181343428,3,4306400173
181343428,7,4306401359
181565077,1,4306400481
181647926,1,4306402226
182534213,2,4306401934
183111857,1,4377196423
183146814,1,4377196769
184531372,1,4306401018
184565670,3,4377196692
184654094,2,4377196746
184840846,1,4377196340
184925374,1,4306401339
