concept_id,umls_aui_seq,umls_aui
2910389531,18,A0446245
2908569021,1,A0024648
2908519926,3,A27338189
2908823819,10,A15176225
2908751872,11,A23628978
2909186759,2,A18285121
2909353277,1,A18644922
2910041100,3,A7665829
2909447574,4,A11559869
2908626413,5,A18628505
2910515064,10,A7576018
2909255381,12,A18027112
2909351174,2,A18664350
2908689187,5,A0473801
2909778679,8,A3077706
2908921296,4,A22828346
2910114146,1,A0967951
2909649922,4,A23872656
2910972258,4,A25718000
2908804498,6,A0265147
2910020066,23,A8437682
2909761558,7,A7574037
2910935011,8,A25722686
2909111407,5,A11572715
2909819602,14,A2889025
2908520674,3,A0426911
2911114149,1,A1811258
2910997768,16,A2781441
2910590557,3,A25762146
2909768578,14,A26632560
2908569021,5,A23867959
2909149441,7,A28399618
2908724844,12,A15341852
2909496165,2,A23382994
2910429360,2,A0540452
2910844663,5,A0533073
2910066949,4,A18560828
2909863526,4,A26983644
2910014776,1,A0550356
2910760841,5,A2656557
2910053781,8,A18636810
2911090098,13,A19314170
2909133680,1,A0111920
2910934447,3,A18627086
2910927064,2,A2141847
2908961019,3,A18555349
2909637497,1,A0411768
2909182145,1,A22795845
2910675033,6,A18623067
2910829522,5,A0800222
2908540146,3,A26632758
2909606595,5,A26659051
2910654035,5,A22761282
2909911872,1,A0218296
2910349174,6,A23004448
2910005497,9,A27931552
2909665077,5,A26654890
2909478654,5,A27333442
2910476448,4,A15391707
2910452277,10,A9376317
2910204064,8,A18048282
2908696374,5,A3035171
2908882559,6,A24374916
2908844906,18,A2884112
2909525131,2,A12814976
2909221355,1,A7651725
2910090564,5,A18608849
2910349174,5,A18668272
2910924664,1,A26610893
2909062176,3,A0805491
2909711689,1,A0680498
2910675164,4,A0443877
2911079008,2,A0008068
2909886172,5,A27067114
2911108036,5,A18685174
2910323407,4,A23866001
2910510515,19,A8364332
2908808681,1,A2102736
2910999556,1,A0000280
2911209605,14,A20161492
2909431760,14,A0246767
2909096915,9,A8438687
2910450773,2,A18692960
2909241321,3,A17790369
2909986567,4,A17787374
2909381827,5,A16767497
2909401005,8,A27067711
2909759153,2,A25740291
2910581434,2,A18022023
2910186798,1,A18663301
2908874942,3,A0102459
2909981330,3,A23864500
2909669934,1,A0532512
2910225729,3,A18683190
2909814698,2,A18014451
2909813250,6,A1306708
2910007386,4,A18046254
2908531242,7,A25749321
2909243047,2,A18560997
2908539429,6,A18071649
2910675294,6,A23906982
2909315519,1,A0701349
2908975881,3,A18684629
2910962159,13,A2983075
2909463153,5,A26609336
2909746581,1,A18662960
2910257930,12,A25725071
2910665457,3,A3044483
2909718394,1,A16987145
2911210631,7,A25740787
2909676883,3,A17990801
2908591018,1,A0684616
2910030976,2,A1395385
2910633982,4,A23340151
2910976051,20,A2880742
2909680690,22,A8352581
2910055489,5,A23867511
2908529173,2,A18553121
2909081632,4,A18594492
2911039627,4,A18682520
2909606595,2,A20270881
2910083286,4,A18683313
2910838973,4,A0555067
2911159362,6,A18013957
2908727407,5,A3118743
2909484822,3,A2787422
2908838209,18,A1199071
2908603675,5,A7572800
2910589926,9,A26710545
2908550248,11,A18575803
2911207394,6,A3253213
2909720742,5,A3322430
2908551600,8,A23971077
2908988626,2,A0314544
2910806092,1,A18466856
2908531242,9,A3005361
2909430059,5,A23479344
2909176747,7,A18645660
