work_id,affiliation_seq,raw_affiliation_string_id
3091214272,1,65155663
2333424657,1,56674646
2913045325,1,95823155
2383902896,1,60614795
2034258012,2,83779212
2922240681,1,122675912
1964631232,2,54516823
2520595014,1,97096321
2784018671,1,75020087
50475311,1,104390754
4393050279,2,113614871
3199268654,4,29589219
4238755052,2,125121424
4401101052,1,99418480
4384153825,1,76170009
3088260964,1,61345134
2950483905,2,75216898
2040227818,4,71184066
1967212091,1,123396204
2136150009,2,27318705
4281979063,17,58307825
1677935305,3,12879422
1995976725,1,21468942
3038150879,1,113163405
2788099218,2,48504933
2040647106,1,67037701
2006750266,1,45965311
2086328385,2,32510699
3009246672,2,11326908
2808402686,1,1996207
3102218071,1,13409148
4290631854,1,42813846
4391119871,1,93300964
4242556759,2,93496496
4213039940,2,20959749
4285225307,1,39172571
1966015441,2,107632549
3007430456,6,112789568
2607355805,2,49120425
2031176059,1,68890862
3102798896,6,76528830
2048978634,3,98156647
2394411532,1,17933479
4313612680,1,46479406
4321489492,2,41037248
1442816610,3,47221825
2161405939,1,27481305
1968058946,1,5569105
2146316804,1,125079306
2000261446,2,22358447
2019216794,2,57079167
2467201256,1,77737035
4393108644,2,10297931
4282942596,9,127913824
2219542444,1,46462420
4311784486,2,43995844
3084386044,3,19829912
2011262576,3,113189714
4389169903,2,75460012
2061456666,1,68853775
4393640413,8,54324853
3216203509,5,29644752
2167644248,2,9417879
4389831383,2,101330149
2975331869,7,19128706
2006237700,1,101530014
2028588363,1,42066443
4205495156,1,77593781
3214859136,2,74932353
2006847609,1,26116944
4294490909,4,65329202
4224084644,1,16574063
2112487025,2,93359534
2108883906,2,83499563
2012651585,3,8279203
1975543774,1,123400330
2027862753,1,49887882
3034861602,2,19711910
3045107611,2,60737546
2807119493,1,42882665
1963742952,2,4632884
4302232302,2,52105094
2017204544,3,41528470
2008331862,1,82405653
4206774505,1,77769313
4220663152,5,105252758
4311688947,1,33367559
4307385469,6,62180133
4283218157,6,28141633
3009292774,2,96806346
2612095002,1,106275821
1973534882,1,72274936
4293484779,1,20532137
4309667148,1,25489335
1908283501,1,17629308
2953736972,3,75819363
2415328260,2,50834119
2129502364,1,9910733
2323743402,2,62595781
2782136476,1,20603979
4400674536,4,58829648
4214570462,3,5933267
2054500317,2,59246744
2004760663,10,55183010
1487210624,1,30116760
3197018405,3,18298103
4252210940,1,89927275
2159776927,1,33146601
4386386375,2,90056885
4213050456,3,9061779
2101305463,6,36965787
4382997915,2,74092067
2809313834,2,26022449
2055010094,3,53731238
1575235872,1,8148644
2264260119,1,48604468
4396949332,5,56859899
1523181541,2,21915978
2045623421,2,75164608
1750252958,1,65217091
4283574787,1,118801572
2044099423,3,110254629
2898791982,1,101720437
2589503469,1,7303323
2958960705,9,13064164
1980646125,2,71881821
2591308598,5,19012101
2332585562,4,82054133
4200142253,1,47155637
2128431586,4,84957895
618713963,1,74678864
2036183227,1,103896403
2025631953,1,69357102
2505488794,3,8228281
2377816343,1,53486804
4285025105,1,111639991
2071273959,4,25652010
2031275542,3,9419802
2533123242,4,5058160
2123570688,1,30585879
2332472072,2,89231206
2054906631,1,2131904
1538710734,3,57872483
2895944712,1,70472507
1495226135,2,72483537
2085829112,1,72712885
4307728927,15,56554893
2613778748,1,66205872
2541936666,2,39926527
3145819781,2,77159944
2922101574,1,32389999
2100905354,1,46027926
4389290414,2,21313374
3173211945,1,125131523
