work_id,mesh_seq,mesh_descriptor_ui,mesh_qualifier_ui,is_major_topic
4234879869,7,D010179,Q000000981,0
2086484293,1,D008428,,1
2416512965,7,D008855,,0
1546827165,11,D009691,,0
2044522743,14,D018482,Q000294,0
1822643817,22,D014616,Q000276,0
1997313781,3,D006843,Q000032,1
4391203055,6,D007001,Q000033,0
2161504245,30,D016896,,0
2119604711,10,D018797,,0
1993180648,27,D015742,,0
2146322326,12,D004727,Q000528,0
2104503961,15,D003092,Q000378,0
3209386751,5,D000818,,0
2156498211,6,D050378,Q000276,1
2055916220,9,D009206,Q000648,0
2208103057,17,D012867,,0
1548556005,9,D006019,,0
1191005344,16,D016896,,0
1559384425,10,D008070,Q000276,0
2417352924,1,D001798,,1
2010773503,15,D018507,,0
2044788199,4,D002412,,0
1538940610,10,D058948,Q000379,0
2771044661,27,D011884,Q000033,0
2210715578,23,D012680,,0
2413265176,6,D006801,,0
1998218399,1,D004912,Q000201,1
2037385465,19,D014470,,0
2271239989,2,D016207,Q000378,1
4366602977,3,D001997,Q000453,0
2092358278,12,D013663,,0
1977064024,5,D009740,Q000458,1
2041338165,1,D001523,Q000235,1
2412040243,6,D006801,,0
2994864594,2,D057167,Q000235,1
2014531627,6,D000900,,0
2400588926,19,D012007,Q000503,0
2025589555,5,D005260,,0
2411464729,5,D000818,,0
2899205932,4,D006528,Q000188,1
2017523437,6,D005260,,0
2070082521,3,D053547,Q000235,1
2415189179,9,D009150,,0
2152985769,7,D005260,,0
2009369311,1,D007938,Q000473,1
2116080645,4,D010300,Q000517,1
2029014417,1,D035082,,1
2046493938,6,D002853,Q000379,0
3003498965,13,D012737,,0
1992868499,7,D004275,,0
4389639149,7,D007037,Q000175,0
2417945224,7,D002056,,0
1976932076,19,D004852,Q000302,0
2424082676,2,D004364,Q000008,1
4292434605,4,D005431,,0
2773664734,9,D005260,,0
2576772813,9,D029441,Q000201,0
4290248149,6,D006801,,0
2239751098,12,D006801,,0
1997927032,11,D002415,,0
2410162304,1,D007253,,1
2018932672,28,D008969,,0
2271500516,31,D012307,,0
2113725097,10,D000961,,0
2396666997,13,D005500,,0
2015422840,8,D000818,,0
2006456574,4,D004059,,0
1521833950,12,D004202,,0
2150834382,3,D014599,Q000473,1
1428455282,4,D000544,Q000235,0
2068196998,2,D003622,Q000009,1
2021009389,16,D008875,,0
2412463947,7,D004338,,0
2196061987,9,D005260,,0
3117765009,1,D000086382,Q000453,1
2049483041,12,D010446,Q000378,0
2467906111,4,D001345,,0
2405575305,10,D012867,Q000473,0
2161674546,16,D019656,,0
1977078318,7,D001562,,0
3013448150,17,D008297,,0
2003963520,2,D009903,Q000502,1
3197891167,1,D041981,,1
2409244876,5,D009902,,1
1984961623,5,D003758,Q000379,0
1970151595,5,D000293,,0
2145738702,7,D007563,Q000453,0
2087096711,2,D013734,Q000473,1
2018622408,42,D012333,Q000037,0
2614633132,4,D000368,,0
3087694153,4,D000552,,0
2413931605,5,D000900,,0
2009822070,1,D017548,,1
1997538602,10,D015483,,0
4290902523,3,D006801,,0
2182771787,24,D059708,,0
2104176771,8,D004279,,0
3002117044,4,D006332,Q000378,0
2054008532,11,D009584,Q000032,0
2160367801,2,D002648,,0
2414003910,4,D000328,,0
2139183922,10,D002675,,0
1985597728,9,D007596,,0
2408502628,20,D007036,,0
114183463,5,D000818,,0
2085364005,6,D013449,Q000627,1
2734496067,12,D004790,,0
2606184880,8,D006801,,0
2095339543,2,D001861,Q000187,1
2006079975,1,D017096,,1
2036133029,15,D006801,,0
2083127029,12,D006801,,0
2396590108,4,D003111,,0
2000775989,4,D014644,,1
2047141987,2,D002471,,1
2408249460,5,D006801,,0
2369357011,9,D044465,,0
1993035614,14,D008099,Q000502,0
1997587689,7,D019579,Q000033,0
2316114463,2,D006442,Q000032,1
2416277923,12,D014481,,0
2419336670,5,D012426,,0
2076491057,2,D000995,,1
1858533253,25,D014648,,0
2753246530,18,D009404,Q000097,0
1558978727,8,D003001,,0
1995601502,12,D006454,Q000032,0
