work_id,author_seq,author_id,author_position_id,is_corresponding_author,raw_author_name_id
2097230574,8,5057329175,3,0,17440532
2525632669,1,5040824824,1,0,64471656
2975076811,3,5079521110,2,1,37140129
1524100320,1,5006175694,1,1,170932
3020350512,2,5060888510,2,0,30606369
3195888977,2,5030581253,2,0,75689127
1579206729,1,5009429019,1,0,4849442
2917258317,3,5053853549,2,0,74159410
4399470799,4,5089967609,2,0,70014015
2726452202,3,5010291995,2,0,47488710
4379283396,16,5077199450,3,0,76569469
4362531906,7,5020564648,2,0,35602715
2003289315,2,5102791216,2,0,27553151
4247440895,21,5099410102,2,0,13334317
2186621992,10,5022852371,3,0,11489377
4313377797,8,5010452127,3,1,8724101
4317206673,6,5079492383,3,0,69246133
4312559930,2,5050092144,2,0,38817604
4292714129,2,5036161581,2,0,68866418
2887175178,4,5001336067,2,0,37449211
4362537906,12,5073472318,3,0,29877363
4248982232,2,5100420987,2,0,38153935
2992616796,1,5003398387,1,1,41662862
4320725415,3,5046594080,2,0,21285948
2774818812,2,5054211044,2,1,50562707
1891862463,2,5078902055,2,0,54286728
4298223140,1,5077975114,1,0,71675598
2476514844,1,5045841140,1,1,26187490
4327656073,2,5008061365,2,0,53521438
4293163398,1,5082235405,1,0,56224607
2334659313,2,5024068875,2,0,34565149
1593353424,2,5031300664,2,0,26789474
3202615945,2,5025467874,2,0,67334738
2048924276,1,5046869305,1,0,25125461
2185193388,3,5036884152,2,0,36495881
120840768,2,5013189570,2,0,83421415
69000524,1,5077681202,1,0,76934758
379924264,1,5013470398,1,0,91930898
3170871770,4,5040713163,3,0,35969714
4200348133,8,5101902557,2,1,80945614
4226244110,4,5037700879,2,0,7606786
3105294841,24,5078723960,3,0,54857829
4310908013,1,5009893319,1,0,64722179
4304787384,2,5083917854,2,0,16105899
2126713699,4,5023184439,3,0,14657349
2570698365,9,5078880840,3,0,80829599
2367969753,1,5100418953,1,1,82860198
2943215084,5,5061711007,2,0,19104879
2040766372,5,5051717751,2,0,46594623
2890600356,3,5018708707,2,0,65281423
2191755817,159,5019177135,2,0,39204390
2312237230,3,5102809249,2,0,74090898
4396357056,1,9999999999,1,1,58342789
1993772456,1,5021945665,1,0,97364594
2394024758,1,5063008438,1,1,13364167
2009252637,2,5103060303,2,0,80394087
1957133163,7,5079185345,2,0,5447089
1995441369,1,5100447342,1,0,52977164
4385213927,126,5090569245,2,0,62546680
4389868806,2,5060613011,2,0,27567589
4391385859,1,5077616570,1,1,30296359
935618639,1,5021580796,1,0,93436126
2492836333,1,5016724328,1,0,44277631
3127582305,2,5010406638,2,0,67219143
3048656695,1,5007005492,1,1,15006948
2142952210,89,5042370486,2,0,15799852
4256278877,1,5052123970,1,0,2377892
2408021095,1,5043638365,1,1,80736733
4255764353,61,5075984978,2,0,51411728
22741973,1,5024196293,1,0,65936443
2782372712,4,5056522717,2,0,30621093
1993973997,1,5052610212,1,0,4625813
3210973206,1,5090258119,1,0,50617170
2003674894,1,5090964339,1,0,33470846
3186263766,1,5010942294,1,0,87155117
4395425816,1,5095886443,1,1,97272037
2945842763,1,5105286159,1,0,50524141
2991518328,2,5077527743,2,0,9948951
3154786442,4,5041882874,3,1,21104219
2385455087,3,5043864078,2,0,33379465
3025722598,13,5003790650,2,1,43877283
2744317902,2,5057784628,2,0,75621807
4213216612,4,5061356217,2,0,48904871
2327354373,3,5050058609,3,0,89154865
2498330627,3,5074543896,2,0,59624762
4394702438,34,5054253930,2,0,32301696
4200006288,2,5024791398,3,0,51191257
2395143540,2,5059633468,3,0,88710822
1973519594,2,5002873584,2,0,12046047
4387615563,3,5075117014,2,0,30456036
3112016369,2,5097472438,3,0,101246507
640005281,3,5026215574,3,0,87704888
2613217423,2135,5085454524,2,0,856890
2115059193,2,5086969441,3,0,31318537
2780144389,1,5045664006,1,0,60713567
3207347973,2,5025683409,2,0,71677392
2362659678,1,5021321953,1,1,79537853
2137129790,4,5065955048,3,0,15652471
2612480754,12,5105920766,2,0,39784097
4283787844,1,5016694968,1,1,63937103
4233816694,1,5035044922,1,0,18982513
2770769272,3,5076159672,3,0,23014303
2100628857,254,5015817476,2,0,10898644
2014282095,9,5052747732,3,0,30589357
2624579036,4,5102504498,2,0,29811076
4397277966,5,5012821647,3,0,38674090
4394136165,8,5104274875,2,0,52593407
2613493360,3,5074194717,3,0,48218325
4393920663,4,5010519247,3,0,71650440
2036142117,1,5083948720,1,0,60291454
2169816885,9,5063272260,2,1,81455114
3127607151,2,5059893047,2,0,71154858
2084313655,3,5032572142,2,0,24052707
3036528941,302,5079640595,2,0,80076608
4293343203,4,5001226970,3,0,43702283
2328357501,8,5101879508,2,0,14202857
2163653551,2,5015484840,2,0,75313052
4396082180,1,9999999999,1,1,96596153
4384205431,3,5092464366,2,0,3773561
4308993978,3,5051007216,3,0,29328745
4360796020,6,5078619065,2,0,9706577
2197252022,2,5075585771,2,0,10146838
2154326329,1,5103051312,1,1,82068067
2323021798,1,5101767123,1,0,71705498
1501377096,3,5006872667,2,0,60289844
2738023605,13,5039089198,2,0,98949363
4247484688,43,5027737866,2,0,28733795
