funder_id,alternative_name_seq,alternative_name
4320309421,3,The International Union of Pure and Applied Chemistry
4320319980,3,FINB
4320316736,3,JOA
4320334192,2,Rubenstein School of Environment and Natural Resources
4320323218,3,STF
4320338351,8,Spezifisches Programm 'Kapazitäten': Forschungspotenzial von Konvergenzregionen Spezifisches Programm 'Kapazitäten': Forschungspotenzial von Konvergenzregionen
4320338044,4,UCSD MRSEC
4320317282,1,CHOISE
4320325957,3,The Novo Nordisk Foundation
4320320104,1,KKLF
4320320522,1,ACARP
4320338428,2,NOAA’s Center for Operational Oceanographic Products and Services
4320306437,2,MAF
4320329650,1,Evonik Industries AG
4320337587,2,"University of Florida, College of Medicine"
4320337559,1,POLAR
4320314890,1,WHRF
4320322536,1,山西大学
4320325627,7,Education Bureau of Shaanxi Province
4320322852,1,Brussels Instituut voor Onderzoek en Innovatie
4320332241,3,Center 4 CA Studies
4320329386,2,F.I.R.M. Onlus
4320310280,3,The California State University
4320334243,4,Office of US Foreign Disaster Assistance
4320334755,5,The University of Cambridge
4320320819,1,NZAC
4320334644,2,University of the South West of England
4320317682,1,CTRI
4320307073,2,H.L. Snyder Medical Foundation
4320336155,5,"Sidney M. Edelstein Center for the History and Philosophy of Science, Technology, and Medicine at the Hebrew University of Jerusalem"
4320314979,3,The Wolcott Family Foundation
4320321881,2,上海市教育委员会
4320322735,3,National Health and Family Planning Commission
4320332299,11,USDA's National Institute of Food and Agriculture
4320336911,2,广东药科大学中医学院
4320334348,1,"ACCM, JHU"
4320326708,1,Bureau of Science and Technology of Suzhou
4320308885,6,US Poultry & Egg Association Inc
4320320326,1,UoR
4320331887,2,Australian Society of Medical Imaging & Radiation Therapy
4320319631,4,The Leroy Schecter Foundation
4320333075,1,OPE
4320325746,1,Université Paris-Est Créteil
4320324125,2,UNLu
4320308771,5,"Henry Luce Foundation, Inc."
4320337826,1,RR&D Brain Rehabilitation Research Center
4320306208,1,"Agilent Technologies, Inc."
4320330798,3,ESC
4320312440,4,MSU
4320321597,2,University of Wales at Bangor
4320311863,1,College of Science and Technology at Southeastern
4320330765,3,Wellcome/EPSRC Centre for Interventional and Surgical Sciences
4320331922,1,Grassland Society of NSW Inc
4320326802,1,AECS
4320333916,3,DOE OE
4320306938,2,East West Center
4320321325,2,KMOU
4320317002,1,Swim Across America Inc.
4320315265,1,EHBEA
4320330595,3,Ruppin College
4320331905,3,Society of Construction Law
4320308756,3,FolgerLibrary
4320318416,3,राष्ट्रीय प्रौद्योगिकी संस्थान सिक्किम
4320332690,1,Bowman Gray School of Medicine
4320335045,2,NPST
4320334148,1,"Institut für Veterinärbakteriologie, Universität Bern"
4320334270,6,Dartmouth Engineering
4320335102,3,Southern and Eastern Norway Regional Health Authority
4320332184,7,The U.S. National Academy of Sciences
4320335584,9,GFZ
4320318844,2,ILMA University
4320331146,3,Chilean National Agency for Research and Development
4320336830,3,"Department of Agriculture, Food and Environment, University of Pisa"
4320323211,1,National Institute of Science and Technology for Translational Research on Health and Environment in the Amazon Region
4320334248,2,Cornell Atkinson Center for Sustainability
4320324892,2,CSM
4320327200,1,King Fahad Medical City Research Center
4320332665,1,CISE
4320333325,2,NCCR on the Move
4320317377,2,Univerzita Tomáše Bati ve Zlíně
4320306514,1,Richard-and-Susan-Smith-Family-foundation
4320337047,2,CES
4320311152,1,The Breakthrough Institute
4320326910,2,SKLOD
4320318853,2,University of Ardakan
4320316264,1,Free State of Thuringia
4320306562,1,Samueli Institute for Information Biology
4320337996,8,Widening participation and strengthening the ERA
4320321902,1,GETFUND
4320338343,3,FOOD
4320328094,2,CMCRC
4320317428,2,Guangdong Provincial Key Laboratory of Digital Signal and Image Processing Technology
4320313171,1,TexCen
4320325258,2,MFAT
4320316363,7,Politica agricolă comună
4320308348,1,HSPH
4320337170,1,Materials Chemistry Research Center. KKU
4320322256,2,ASI
4320328182,1,LNV
4320329882,2,Guangdong Provincial Esophageal Cancer Research Institute
4320309139,2,Edwards
4320318730,4,Aminex
4320326950,1,CEU
4320326364,1,Aage and Johanne Louis-Hansen Foundation
4320316891,2,Third Coast CFAR
4320315731,1,Humanities ND
4320332089,5,St Vincent's Hospital [Melbourne]
4320330084,4,Research & Innovation Foundation
4320332129,2,CSoCC
4320334962,4,FP6
4320306117,4,Woodrow Wilson Center
4320337706,10,U.S. Department of Energy Geothermal Technologies Office
4320316438,4,The Georgia Clinical and Translational Science Alliance
4320309780,1,LH
4320331377,1,Vaccitech Limited
4320310083,4,Oscar and Lili. Lamm's Memorial Foundation
4320308721,9,"Rhode Island, Space Grant"
4320330393,2,NUE
4320318766,4,The Common Sense Fund
4320332701,1,Clark School of Engineering
4320317106,3,Sony Corporation
4320306389,2,IL Children's Healthcare Foundation
4320335275,1,Hanyang Taehakkyo
4320311480,4,"Foundation for Physical Therapy Research, Inc."
4320331947,1,APS Inc
4320319698,2,GFF
4320318850,1,Morinaga Milk
4320314409,1,Alliance For CA Traditional Arts
4320308503,2,Leo Baeck Institute - New York | Berlin
4320324913,2,Muscular Dystrophy Campaign
4320338187,2,CEDENNA
4320310236,4,Carpenter Foundation | E. Rhodes & Leona B.
4320325095,1,EAOG
4320310708,2,CRIR
4320324101,1,Armenian State Committee of Science
4320331430,1,Government of New South Wales
4320306197,8,"The Annie E. Casey Foundation, Inc."
4320324841,1,Royal Dutch Veterinary Association
4320312921,8,William H and Mattie W Harris Foundation
4320326656,3,BT in West Bengal State
4320317965,2,Kalimantan Institute of Technology
